date,ordinality,count
1817,0.8788,33
1818,0.9942,171
1819,0.7,40
1820,0.8889,45
1821,0.7188,32
1822,0.6667,54
1828,0.8587,92
1829,0.7292,48
1831,0.2903,62
1832,0.4773,44
1833,0.4884,43
1836,0.75,40
1837,0.52,50
1838,0.6,30
1839,0.5312,32
1840,0.5185,54
1841,0.6757,74
1842,0.6923,39
1843,0.6327,49
1844,0.5135,37
1845,0.6232,69
1846,0.4,60
1847,0.7031,64
1848,0.5833,72
1849,0.6818,44
1850,0.4938,81
1851,0.6667,69
1852,0.6545,55
1853,0.5775,71
1854,0.6,85
1855,0.5606,66
1856,0.473,74
1857,0.5455,77
1859,0.6,50
1860,0.3258,89
1861,0.7529,85
1862,0.7521,117
1863,0.8194,227
1864,0.8107,169
1865,0.6164,146
1866,0.7019,104
1867,0.6198,121
1868,0.4286,91
1869,0.4483,116
1870,0.1236,259
1871,0.2374,219
1872,0.675,40
1873,0.527,74
1874,0.5507,69
1875,0.5574,61
1876,0.5591,93
1877,0.5714,63
1878,0.5333,75
1879,0.5921,76
1880,0.4328,67
1881,0.6377,69
1882,0.5054,93
1883,0.6552,58
1884,0.5644,101
1885,0.5741,54
1886,0.5056,89
1887,0.3049,82
1888,0.4737,114
1889,0.4262,183
1890,0.4194,62
1891,0.5607,107
1892,0.514,107
1893,0.625,88
1894,0.6667,120
1895,0.5533,150
1896,0.4725,91
1897,0.5422,83
1898,0.5796,157
1899,0.5183,191
1900,0.4249,193
1901,0.548,281
1902,0.4529,170
1903,0.4094,171
1904,0.6667,144
1905,0.5979,97
1906,0.4651,129
1907,0.3932,117
1908,0.5333,135
1909,0.4783,161
1910,0.3919,148
1911,0.5,130
1912,0.4132,121
1913,0.413,138
1914,0.3933,178
1915,0.4192,167
1916,0.6,120
1917,0.3957,139
1918,0.3889,126
1919,0.3763,186
1920,0.4359,156
1921,0.4715,123
1922,0.3598,189
1923,0.5229,109
1924,0.3711,97
1925,0.4737,114
1926,0.4359,78
1927,0.6566,99
1928,0.57,100
1929,0.3471,121
1930,0.2846,130
1931,0.4954,109
1932,0.3762,101
1933,0.675,80
1934,0.5114,88
1935,0.6,105
1936,0.3969,131
1937,0.5081,124
1938,0.5449,167
1939,0.447,132
1940,0.5124,121
1941,0.6941,85
1942,0.6618,68
1943,0.5508,118
1944,0.4082,49
1945,0.7215,79
1946,0.6977,86
1947,0.3664,232
1948,0.5442,147
1949,0.7417,120
1950,0.5882,136
1951,0.5918,147
1952,0.6855,159
1953,0.6036,169
1954,0.648,125
1955,0.5864,191
1956,0.6127,142
1957,0.535,200
1958,0.3987,153
1959,0.7012,241
1960,0.4392,296
1961,0.601,193
1962,0.5197,304
1963,0.457,302
1964,0.4338,302
1965,0.4747,297
1966,0.5628,446
1967,0.5336,804
1968,0.5126,476
1969,0.5697,567
1970,0.436,500
1971,0.5051,396
1972,0.4219,365
1973,0.4854,377
1974,0.5312,384
1975,0.4673,321
1976,0.4622,370
1977,0.5645,705
1978,0.4355,434
1979,0.4637,399
1980,0.552,779
1981,0.4737,475
1982,0.5131,343
1983,0.5043,583
1984,0.3582,536
1985,0.5453,453
1986,0.5011,469
1987,0.4637,565
1988,0.1369,1717
1989,0.6537,488
1990,0.5707,375
1991,0.6113,476
1992,0.4741,694
1993,0.4691,906
1994,0.5214,1260
1995,0.4264,1100
1996,0.461,525
1997,0.5306,294
1998,0.5628,382
1999,0.6584,322
2000,0.5051,293
2001,0.5408,294
2002,0.3536,444
2003,0.6056,611
2004,0.4457,350
2005,0.379,657
2006,0.4351,308
2007,0.5117,342
2008,0.4483,319
2009,0.4538,130
2010,0.1958,286
2011,0.7549,102
2012,0.6061,66
