date,ordinality,count
1839,0.0,31
1843,0.0294,34
1845,0.0833,36
1846,0.0312,32
1847,0.0175,57
1848,0.0256,39
1849,0.0698,43
1850,0.0123,81
1851,0.0462,65
1852,0.0172,58
1853,0.0465,86
1854,0.0114,88
1855,0.0411,73
1856,0.0273,110
1857,0.0225,89
1858,0.0,41
1859,0.0315,127
1860,0.0225,89
1861,0.0364,55
1862,0.0588,51
1863,0.0,64
1864,0.0405,74
1865,0.0,73
1866,0.026,77
1867,0.0263,76
1868,0.0455,88
1869,0.0849,106
1870,0.0625,80
1871,0.0353,85
1872,0.0533,75
1873,0.0976,82
1874,0.0233,86
1875,0.0519,77
1876,0.0617,81
1877,0.026,77
1878,0.0519,77
1879,0.0426,94
1880,0.051,98
1881,0.0196,102
1882,0.0526,76
1883,0.0303,99
1884,0.041,122
1885,0.023,87
1886,0.0,99
1887,0.0185,108
1888,0.0278,108
1889,0.0698,129
1890,0.0288,139
1891,0.0217,138
1892,0.0407,123
1893,0.0117,171
1894,0.04,125
1895,0.0517,116
1896,0.0299,167
1897,0.0342,146
1898,0.0153,131
1899,0.0458,262
1900,0.0348,201
1901,0.0141,142
1902,0.0109,184
1903,0.0357,168
1904,0.0067,150
1905,0.0325,123
1906,0.0286,140
1907,0.0467,107
1908,0.0063,160
1909,0.0101,198
1910,0.0229,175
1911,0.0541,148
1912,0.0345,145
1913,0.0526,152
1914,0.0079,126
1915,0.0094,106
1916,0.0143,140
1917,0.0,80
1918,0.0183,109
1919,0.041,122
1920,0.0408,98
1921,0.045,111
1922,0.0,85
1923,0.0147,68
1924,0.0,57
1925,0.0714,42
1926,0.0833,36
1927,0.0462,65
1928,0.0492,61
1929,0.0,61
1930,0.0727,55
1931,0.0667,60
1932,0.0698,43
1933,0.0233,43
1934,0.0263,38
1935,0.0426,47
1936,0.0,38
1937,0.0192,52
1938,0.0536,56
1939,0.0278,36
1940,0.0,48
1941,0.0,40
1942,0.0526,38
1943,0.0,42
1945,0.075,40
1946,0.0444,45
1947,0.0213,47
1948,0.0444,45
1949,0.0455,44
1950,0.0213,47
1951,0.087,46
1952,0.0,32
1953,0.0222,45
1954,0.0784,51
1955,0.05,40
1956,0.0,48
1957,0.0244,41
1958,0.02,50
1959,0.0286,35
1960,0.0667,45
1961,0.0238,42
1962,0.0238,42
1963,0.0625,48
1964,0.0204,49
1965,0.0588,34
1966,0.0909,44
1967,0.0263,38
1968,0.0182,55
1969,0.0435,69
1970,0.093,43
1971,0.1087,46
1972,0.0196,51
1973,0.0612,49
1974,0.0,41
1975,0.0541,37
1977,0.0,40
1978,0.129,31
1979,0.1333,30
1980,0.0588,34
1985,0.0312,32
1987,0.0303,33
1993,0.0204,49
1994,0.12,50
1995,0.05,40
