date,ordinality,count
1836,0.1613,31
1843,0.1078,34
1844,0.2054,33
1845,0.2649,32
1846,0.2157,34
1847,0.2286,35
1851,0.2576,33
1852,0.2135,48
1853,0.2125,40
1854,0.211,38
1855,0.3673,41
1856,0.1939,42
1857,0.2004,42
1858,0.2952,35
1859,0.2763,38
1860,0.2269,36
1861,0.2206,34
1868,0.2381,42
1869,0.4003,34
1870,0.2917,42
1871,0.4167,36
1872,0.4146,41
1873,0.3926,34
1874,0.4444,36
1875,0.3673,49
1876,0.2669,38
1878,0.3333,40
1879,0.3039,31
1880,0.3055,50
1881,0.25,34
1882,0.3846,52
1883,0.2908,46
1884,0.3051,65
1885,0.2979,47
1886,0.3596,57
1887,0.3258,44
1888,0.3677,31
1889,0.3031,53
1890,0.4107,56
1891,0.2607,54
1892,0.3182,44
1893,0.3787,61
1894,0.4875,40
1895,0.2885,52
1896,0.1688,64
1897,0.5536,56
1898,0.2029,86
1899,0.2517,98
1900,0.4162,63
1901,0.2997,61
1902,0.2628,66
1903,0.3846,49
1904,0.4228,54
1905,0.255,51
1906,0.5093,59
1907,0.4502,77
1908,0.39,50
1909,0.3872,46
1910,0.2867,59
1911,0.4348,46
1912,0.3588,47
1913,0.4864,57
1914,0.4294,60
1915,0.4455,55
1916,0.4115,53
1917,0.2779,40
1918,0.3857,43
1919,0.522,53
1920,0.5114,45
1921,0.553,44
1922,0.3551,64
1923,0.4875,40
1924,0.5772,38
1926,0.3792,40
1930,0.5154,31
1933,0.3869,36
1937,0.5156,32
1939,0.3683,41
1941,0.4379,37
1942,0.4128,39
1946,0.5625,34
1947,0.4559,34
1948,0.4556,45
1949,0.4844,32
1950,0.3703,37
1951,0.451,40
1952,0.4583,48
1953,0.4583,36
1954,0.3529,34
1955,0.5145,38
1956,0.4504,47
1957,0.4306,36
1958,0.5094,38
1959,0.4625,40
1960,0.45,60
1961,0.536,37
1962,0.5662,73
1963,0.4833,70
1964,0.4475,65
1965,0.4638,69
1966,0.4839,62
1967,0.4547,86
1968,0.3706,81
1969,0.3724,98
1970,0.4667,80
1971,0.3956,87
1972,0.4961,85
1973,0.3456,68
1974,0.4452,73
1975,0.4746,59
1976,0.5832,63
1977,0.3793,58
1978,0.516,47
1979,0.5597,53
1980,0.5212,59
1981,0.4224,58
1982,0.6276,54
1983,0.3922,51
1984,0.5233,43
1985,0.2375,40
1986,0.349,32
1987,0.3431,51
1988,0.4224,58
1989,0.4211,38
1990,0.5303,33
1992,0.4302,43
1993,0.4326,47
1994,0.5865,52
1995,0.4766,64
1996,0.3649,37
1997,0.3977,44
1998,0.4222,45
2005,0.5132,38
