date,ordinality,count
1846,0.929,31
1850,0.9634,41
1852,0.8634,46
1853,0.8958,48
1854,0.9268,41
1855,0.9075,43
1856,0.8915,52
1857,0.9537,54
1858,0.879,31
1859,0.8485,33
1860,0.8792,40
1861,0.9394,33
1863,0.9922,32
1864,0.8387,31
1865,0.9143,35
1866,0.925,40
1867,0.9394,33
1868,0.9658,39
1869,0.945,40
1870,0.8952,48
1871,0.9796,49
1872,0.8974,39
1873,0.7333,45
1874,0.8079,36
1875,0.7708,48
1876,0.9512,41
1878,0.844,47
1879,0.9605,57
1880,0.8333,75
1881,0.907,43
1882,0.8727,55
1883,0.9487,65
1884,0.8447,73
1885,0.875,48
1886,0.9,50
1887,0.9685,45
1888,0.878,41
1889,0.8478,46
1890,0.9184,49
1891,0.9512,41
1892,0.88,50
1893,0.8313,70
1894,0.95,45
1895,0.9219,64
1896,0.8607,73
1897,0.795,74
1898,0.8333,72
1899,0.9282,87
1900,0.8661,84
1901,0.85,70
1902,0.8323,79
1903,0.9346,51
1904,0.9328,63
1905,0.9118,51
1906,0.847,73
1907,0.8632,65
1908,0.93,75
1909,0.9149,67
1910,0.8706,67
1911,0.8279,61
1912,0.9074,81
1913,0.8825,61
1914,0.8061,49
1915,0.7513,36
1916,0.9394,66
1917,0.8253,50
1918,0.898,49
1919,0.8055,47
1920,0.8643,61
1921,0.9236,48
1922,0.9231,52
1923,0.875,48
1924,0.7571,35
1927,0.875,32
1928,0.8508,39
1929,0.8819,43
1930,0.8929,42
1931,0.9193,32
1932,0.7814,31
1933,0.8784,37
1934,0.82,32
1935,0.6447,44
1938,0.8077,39
1939,0.7973,37
1940,0.8759,47
1942,0.9062,40
1945,0.8041,38
1946,0.8974,39
1947,0.7708,32
1948,0.8444,45
1949,0.7619,42
1950,0.8279,57
1951,0.719,35
1952,0.8185,45
1953,0.8571,42
1955,0.8795,39
1956,0.7195,41
1957,0.7234,47
1959,0.8683,34
1960,0.8186,51
1961,0.7826,46
1962,0.7803,66
1963,0.8137,51
1964,0.8485,55
1965,0.8056,72
1966,0.783,53
1967,0.8617,94
1968,0.7046,84
1969,0.8827,72
1970,0.7397,73
1971,0.8699,73
1972,0.8721,86
1973,0.7765,66
1974,0.8244,75
1975,0.7979,47
1976,0.7971,59
1977,0.8333,74
1978,0.8396,53
1979,0.8056,72
1980,0.84,81
1981,0.7641,65
1982,0.7853,61
1983,0.7801,57
1984,0.6786,56
1985,0.8304,56
1986,0.7571,39
1987,0.7462,65
1988,0.7328,73
1989,0.7214,35
1990,0.7538,39
1992,0.7841,52
1993,0.7725,63
1994,0.719,83
1995,0.8197,61
1996,0.8333,49
1998,0.8352,39
1999,0.7625,40
2000,0.7258,31
2005,0.7074,45
