date,ordinality,count
1800,0.9412,34
1818,0.9143,35
1819,0.9561,38
1822,0.9074,36
1823,0.9461,34
1824,0.7821,39
1825,0.9318,44
1826,0.9583,36
1827,0.9201,48
1828,0.9512,41
1829,0.9356,44
1830,0.9451,82
1831,0.9728,49
1832,0.949,49
1833,0.9485,66
1834,0.8927,59
1835,0.9146,79
1836,0.918,61
1837,0.9732,59
1838,0.9296,58
1839,0.9306,96
1840,0.9653,68
1841,0.8951,81
1842,0.9125,80
1843,0.9452,76
1844,0.8428,83
1845,0.9481,106
1846,0.8656,118
1847,0.884,132
1848,0.9312,138
1849,0.8695,129
1850,0.849,160
1851,0.9344,167
1852,0.874,151
1853,0.9222,182
1854,0.932,169
1855,0.94,147
1856,0.8984,178
1857,0.9113,190
1858,0.9108,114
1859,0.9462,206
1860,0.9209,215
1861,0.9291,141
1862,0.935,100
1863,0.9494,135
1864,0.9173,141
1865,0.9692,165
1866,0.9295,182
1867,0.9634,173
1868,0.9271,176
1869,0.9429,210
1870,0.9309,217
1871,0.9383,208
1872,0.9291,203
1873,0.9572,187
1874,0.9185,184
1875,0.9296,199
1876,0.9536,245
1877,0.9434,182
1878,0.9321,211
1879,0.9455,223
1880,0.9332,282
1881,0.9483,251
1882,0.9357,250
1883,0.9734,268
1884,0.9584,302
1885,0.9596,260
1886,0.9532,297
1887,0.9473,292
1888,0.9353,300
1889,0.936,349
1890,0.9545,312
1891,0.9451,281
1892,0.9716,290
1893,0.9528,338
1894,0.9333,315
1895,0.9487,363
1896,0.9421,354
1897,0.9598,322
1898,0.9373,347
1899,0.94,506
1900,0.95,420
1901,0.9349,367
1902,0.9454,388
1903,0.9378,372
1904,0.9365,380
1905,0.9563,347
1906,0.935,415
1907,0.9361,416
1908,0.9391,416
1909,0.9288,394
1910,0.9537,456
1911,0.9232,439
1912,0.9434,446
1913,0.9529,460
1914,0.9579,382
1915,0.9381,339
1916,0.9712,400
1917,0.9521,347
1918,0.9651,301
1919,0.9512,335
1920,0.9463,400
1921,0.9656,329
1922,0.9581,398
1923,0.9526,292
1924,0.9509,246
1925,0.9293,238
1926,0.9703,219
1927,0.957,239
1928,0.9667,301
1929,0.9463,304
1930,0.9529,276
1931,0.9745,297
1932,0.9623,245
1933,0.9203,207
1934,0.9424,262
1935,0.9549,266
1936,0.9576,281
1937,0.9619,271
1938,0.9527,294
1939,0.9716,286
1940,0.9653,269
1941,0.9645,235
1942,0.9461,232
1943,0.9738,181
1944,0.979,214
1945,0.9715,193
1946,0.956,265
1947,0.9657,320
1948,0.967,345
1949,0.9586,356
1950,0.9596,342
1951,0.9753,317
1952,0.9425,339
1953,0.9637,342
1954,0.9509,340
1955,0.9523,332
1956,0.954,359
1957,0.9471,364
1958,0.9461,331
1959,0.9713,387
1960,0.944,466
1961,0.9636,493
1962,0.9495,533
1963,0.9671,558
1964,0.965,548
1965,0.9708,604
1966,0.956,599
1967,0.9531,642
1968,0.9741,757
1969,0.9668,669
1970,0.9581,709
1971,0.9687,644
1972,0.9649,708
1973,0.9711,693
1974,0.971,679
1975,0.9786,623
1976,0.9771,474
1977,0.9659,616
1978,0.9682,657
1979,0.9783,676
1980,0.9745,614
1981,0.9807,717
1982,0.9766,782
1983,0.9808,774
1984,0.9677,721
1985,0.9807,536
1986,0.9804,509
1987,0.984,731
1988,0.9825,913
1989,0.9786,725
1990,0.9659,504
1991,0.9644,426
1992,0.9796,502
1993,0.9754,793
1994,0.9755,1104
1995,0.978,1037
1996,0.9787,811
1997,0.9809,673
1998,0.9792,757
1999,0.9848,407
2000,0.9827,298
2001,0.987,320
2002,0.9762,388
2003,0.9837,328
2004,0.9883,383
2005,0.9811,847
2006,0.9838,757
2007,0.9778,308
2008,0.9848,559
2009,0.9861,499
2010,0.9958,120
2011,0.9912,57
2012,0.9762,56
2013,1.0,35
