date,ordinality,count
1969,0.6452,31
1973,0.4601,46
1974,0.5691,41
1975,0.5968,31
1977,0.5595,56
1978,0.6469,38
1979,0.425,40
1980,0.5417,36
1981,0.6521,54
1982,0.4083,54
1983,0.4664,67
1984,0.598,51
1985,0.5558,43
1986,0.5125,40
1987,0.6294,67
1988,0.5566,81
1989,0.5417,76
1990,0.4798,33
1991,0.6838,39
1992,0.5995,43
1993,0.5416,99
1994,0.4458,133
1995,0.5698,165
1996,0.5405,107
1997,0.4679,81
1998,0.4821,91
1999,0.627,42
2000,0.5324,36
2001,0.5171,39
2002,0.4167,36
2003,0.4812,54
2004,0.4821,56
2005,0.5154,92
2006,0.538,107
2007,0.6391,38
2008,0.4504,89
2009,0.3889,84
