date,ordinality,count
1962,0.2417,32
1963,0.257,49
1964,0.3303,43
1965,0.3576,44
1966,0.3813,53
1967,0.2395,47
1968,0.2222,51
1969,0.3665,44
1970,0.365,73
1971,0.3732,71
1972,0.3014,84
1973,0.3642,94
1974,0.3581,90
1975,0.3427,113
1976,0.3344,129
1977,0.2912,176
1978,0.3062,214
1979,0.3473,179
1980,0.3281,179
1981,0.2582,183
1982,0.3272,203
1983,0.3404,213
1984,0.2235,214
1985,0.3188,152
1986,0.3299,181
1987,0.3248,177
1988,0.3209,246
1989,0.2935,162
1990,0.2889,153
1991,0.2691,100
1992,0.2636,113
1993,0.3229,186
1994,0.3083,276
1995,0.3494,272
1996,0.317,257
1997,0.3309,177
1998,0.315,212
1999,0.3609,170
2000,0.2585,142
2001,0.2763,120
2002,0.2149,140
2003,0.2883,171
2004,0.318,130
2005,0.2522,226
2006,0.3455,233
2007,0.2759,115
2008,0.3156,163
2009,0.3166,124
2010,0.3003,70
2011,0.3832,36
2012,0.179,34
