date,ordinality,count
1832,0.1765,34
1833,0.0227,44
1834,0.1879,47
1835,0.2063,63
1836,0.0818,53
1837,0.1395,43
1838,0.0882,51
1839,0.1765,51
1840,0.2418,51
1841,0.125,48
1842,0.184,53
1843,0.0682,66
1844,0.0385,65
1845,0.1605,81
1846,0.0644,79
1847,0.1115,86
1848,0.131,84
1849,0.1593,90
1850,0.1064,98
1851,0.1105,117
1852,0.1089,109
1853,0.1314,118
1854,0.1451,139
1855,0.1199,82
1856,0.1173,135
1857,0.1888,87
1858,0.1197,87
1859,0.0658,119
1860,0.1634,101
1861,0.2008,88
1862,0.2252,94
1863,0.1616,66
1864,0.1643,70
1865,0.1149,74
1866,0.0924,114
1867,0.0645,93
1868,0.1138,123
1869,0.1339,122
1870,0.1521,137
1871,0.1227,129
1872,0.1466,104
1873,0.1752,121
1874,0.1087,92
1875,0.1835,109
1876,0.2231,130
1877,0.1,100
1878,0.1804,97
1879,0.1312,128
1880,0.1027,112
1881,0.1246,126
1882,0.1053,119
1883,0.1228,135
1884,0.1463,135
1885,0.1434,129
1886,0.0887,139
1887,0.1368,134
1888,0.1024,138
1889,0.1027,142
1890,0.1642,135
1891,0.1897,134
1892,0.1136,135
1893,0.1131,143
1894,0.1578,140
1895,0.1098,172
1896,0.0774,169
1897,0.0982,148
1898,0.119,163
1899,0.123,183
1900,0.1057,175
1901,0.1859,142
1902,0.0958,174
1903,0.1625,152
1904,0.1606,169
1905,0.1871,171
1906,0.1363,181
1907,0.1268,178
1908,0.1123,209
1909,0.1086,195
1910,0.1041,161
1911,0.0863,182
1912,0.0969,183
1913,0.1427,198
1914,0.0788,188
1915,0.1398,162
1916,0.1384,167
1917,0.1735,134
1918,0.1495,121
1919,0.1538,133
1920,0.1292,137
1921,0.1497,118
1922,0.0914,164
1923,0.1052,87
1924,0.0787,91
1925,0.1481,90
1926,0.1295,74
1927,0.1188,87
1928,0.1544,80
1929,0.1084,83
1930,0.15,88
1931,0.112,78
1932,0.1544,60
1933,0.0473,73
1934,0.0556,45
1935,0.1032,52
1936,0.1052,64
1937,0.1083,76
1938,0.1013,76
1939,0.066,94
1940,0.0767,78
1941,0.1554,74
1942,0.1468,63
1943,0.163,45
1944,0.121,56
1945,0.0739,54
1946,0.1171,70
1947,0.0905,105
1948,0.1,85
1949,0.058,92
1950,0.0569,117
1951,0.0588,87
1952,0.0842,101
1953,0.0601,92
1954,0.1027,109
1955,0.0648,115
1956,0.0711,114
1957,0.0615,116
1958,0.0892,114
1959,0.0855,152
1960,0.1328,135
1961,0.086,128
1962,0.1119,165
1963,0.0941,170
1964,0.0971,111
1965,0.0894,124
1966,0.0782,152
1967,0.1797,153
1968,0.0912,185
1969,0.139,209
1970,0.1136,210
1971,0.0974,183
1972,0.0866,231
1973,0.128,248
1974,0.0929,266
1975,0.0857,284
1976,0.0702,254
1977,0.0989,246
1978,0.1169,252
1979,0.1153,236
1980,0.0775,197
1981,0.0793,213
1982,0.0694,197
1983,0.0655,177
1984,0.0321,195
1985,0.0967,153
1986,0.0553,148
1987,0.0452,176
1988,0.0739,169
1989,0.1183,136
1990,0.0853,129
1991,0.0833,96
1992,0.1181,127
1993,0.0919,117
1994,0.0871,176
1995,0.0794,168
1996,0.0634,155
1997,0.0727,132
1998,0.0485,134
1999,0.0717,140
2000,0.0495,111
2001,0.0269,93
2002,0.0643,112
2003,0.0634,128
2004,0.0522,114
2005,0.0748,156
2006,0.1229,125
2007,0.0538,88
2008,0.0815,89
2009,0.1052,80
2010,0.1792,53
2011,0.0682,33
