date,ordinality,count
1830,0.0,38
1832,0.0,34
1833,0.0,46
1835,0.0,47
1836,0.0,40
1837,0.0,31
1838,0.0,41
1839,0.0,46
1840,0.0,35
1841,0.0,44
1842,0.0,33
1843,0.0,38
1844,0.0,48
1845,0.0,55
1846,0.0,48
1847,0.0,54
1848,0.0,66
1849,0.0,50
1850,0.0,67
1851,0.0047,71
1852,0.0,70
1853,0.0,79
1854,0.0,94
1855,0.0,77
1856,0.0,91
1857,0.0,77
1858,0.0,75
1859,0.0,99
1860,0.0,93
1861,0.0,57
1862,0.0185,54
1863,0.0194,60
1864,0.0139,72
1865,0.0,60
1866,0.0,69
1867,0.025,80
1868,0.0,81
1869,0.0,85
1870,0.0,87
1871,0.0,93
1872,0.0,81
1873,0.0,59
1874,0.0253,79
1875,0.0,95
1876,0.0,90
1877,0.0118,85
1878,0.0,85
1879,0.0142,106
1880,0.0083,120
1881,0.0023,110
1882,0.0381,105
1883,0.0,96
1884,0.0,98
1885,0.0,86
1886,0.01,100
1887,0.0105,95
1888,0.0085,117
1889,0.0141,142
1890,0.0105,95
1891,0.0,101
1892,0.0,115
1893,0.0182,110
1894,0.0092,109
1895,0.0,119
1896,0.0323,105
1897,0.0508,118
1898,0.04,125
1899,0.0175,171
1900,0.0417,144
1901,0.0303,132
1902,0.0072,138
1903,0.0203,148
1904,0.0,158
1905,0.0122,123
1906,0.0223,157
1907,0.0138,145
1908,0.0113,147
1909,0.0064,156
1910,0.0133,150
1911,0.0,151
1912,0.0095,158
1913,0.0,144
1914,0.0117,171
1915,0.0064,156
1916,0.0227,132
1917,0.0632,95
1918,0.0303,99
1919,0.0039,109
1920,0.007,142
1921,0.0109,122
1922,0.0,125
1923,0.0105,95
1924,0.0278,72
1925,0.0147,68
1926,0.0217,92
1927,0.0,86
1928,0.027,74
1929,0.0096,104
1930,0.019,105
1931,0.0179,84
1932,0.0123,81
1933,0.0,84
1934,0.0204,49
1935,0.0213,94
1936,0.0338,79
1937,0.0,98
1938,0.0112,89
1939,0.0101,99
1940,0.0,80
1941,0.0137,73
1942,0.0328,61
1943,0.0,57
1944,0.0,67
1945,0.0147,68
1946,0.012,83
1947,0.0,80
1948,0.0196,102
1949,0.0,109
1950,0.0108,93
1951,0.0097,103
1952,0.0291,103
1953,0.0278,72
1954,0.0063,80
1955,0.0206,97
1956,0.011,91
1957,0.0435,92
1958,0.0,100
1959,0.0105,95
1960,0.0086,116
1961,0.0,138
1962,0.0382,131
1963,0.0069,145
1964,0.0256,117
1965,0.0147,136
1966,0.0127,157
1967,0.016,187
1968,0.0053,187
1969,0.0158,190
1970,0.005,199
1971,0.0215,186
1972,0.0163,184
1973,0.0325,189
1974,0.0186,161
1975,0.0324,139
1976,0.0348,115
1977,0.0097,103
1978,0.0203,148
1979,0.0284,141
1980,0.0171,117
1981,0.0426,141
1982,0.0169,118
1983,0.0216,139
1984,0.0263,152
1985,0.0158,95
1986,0.0464,97
1987,0.0296,152
1988,0.0,156
1989,0.0315,127
1990,0.0286,70
1991,0.0116,86
1992,0.0,65
1993,0.0064,157
1994,0.0237,169
1995,0.0057,175
1996,0.0328,122
1997,0.028,107
1998,0.03,125
1999,0.0179,56
2000,0.0,53
2001,0.0,59
2002,0.0233,43
2003,0.0417,48
2004,0.0,57
2005,0.0157,127
2006,0.0172,116
2007,0.0426,47
2008,0.0244,82
2009,0.05,60
