date,ordinality,count
1916,1.0,32
1917,1.0,41
1918,1.0,32
1919,1.0,38
1920,1.0,42
1921,1.0,37
1922,1.0,68
1924,1.0,51
1925,1.0,37
1926,1.0,53
1927,1.0,64
1928,1.0,50
1929,1.0,70
1930,1.0,64
1931,1.0,77
1932,1.0,66
1933,1.0,56
1934,1.0,46
1935,1.0,74
1936,1.0,65
1937,1.0,87
1938,1.0,90
1939,1.0,100
1940,1.0,73
1941,1.0,88
1942,1.0,65
1943,1.0,48
1944,1.0,50
1945,1.0,64
1946,0.989,91
1947,1.0,87
1948,1.0,88
1949,1.0,109
1950,1.0,108
1951,1.0,89
1952,1.0,89
1953,1.0,74
1954,1.0,65
1955,1.0,60
1956,1.0,81
1957,1.0,79
1958,0.987,77
1959,1.0,81
1960,1.0,91
1961,1.0,91
1962,1.0,106
1963,1.0,112
1964,1.0,104
1965,1.0,115
1966,1.0,109
1967,1.0,123
1968,1.0,121
1969,1.0,126
1970,0.992,125
1971,1.0,112
1972,1.0,130
1973,1.0,92
1974,1.0,99
1975,1.0,88
1976,1.0,79
1977,1.0,96
1978,1.0,102
1979,0.9891,92
1980,1.0,90
1981,0.9907,108
1982,1.0,112
1983,0.998,100
1984,0.995,100
1985,0.9922,64
1986,1.0,76
1987,1.0,78
1988,1.0,97
1989,1.0,71
1990,1.0,54
1991,1.0,66
1992,1.0,52
1993,1.0,107
1994,1.0,184
1995,0.9935,154
1996,0.9935,154
1997,0.9928,138
1998,1.0,165
1999,1.0,93
2000,1.0,91
2001,1.0,97
2002,0.9938,81
2003,1.0,88
2004,1.0,99
2005,1.0,173
2006,0.9919,123
2007,1.0,56
2008,0.9947,94
2009,1.0,74
