date,ordinality,count
1818,0.0,36
1819,0.0,31
1821,0.0,31
1822,0.0,31
1823,0.0,47
1824,0.0,53
1825,0.0,42
1827,0.0,51
1828,0.0,60
1829,0.0385,39
1830,0.0,65
1831,0.0,60
1832,0.0,53
1833,0.0,70
1834,0.0,53
1835,0.0,91
1836,0.0125,80
1837,0.0063,79
1838,0.0,85
1839,0.0024,103
1840,0.0,91
1841,0.0,91
1842,0.0,76
1843,0.0,92
1844,0.0096,104
1845,0.0,118
1846,0.0,128
1847,0.0,136
1848,0.0144,139
1849,0.0,119
1850,0.0061,165
1851,0.0,159
1852,0.0,162
1853,0.0104,192
1854,0.0,169
1855,0.0,159
1856,0.0,222
1857,0.0,153
1858,0.0,124
1859,0.0096,208
1860,0.0,193
1861,0.0,119
1862,0.0,110
1863,0.0,118
1864,0.0,127
1865,0.0,112
1866,0.0,159
1867,0.0,118
1868,0.0,111
1869,0.0056,177
1870,0.0,144
1871,0.0,141
1872,0.0066,152
1873,0.0,110
1874,0.0,154
1875,0.0064,157
1876,0.0101,149
1877,0.0,128
1878,0.0,142
1879,0.0,159
1880,0.0028,179
1881,0.0057,174
1882,0.0,182
1883,0.0057,176
1884,0.0061,163
1885,0.0108,185
1886,0.0,185
1887,0.0,183
1888,0.0065,155
1889,0.0,184
1890,0.008,188
1891,0.0,173
1892,0.0104,192
1893,0.005,200
1894,0.0,165
1895,0.0152,198
1896,0.0053,189
1897,0.006,166
1898,0.0058,173
1899,0.0076,263
1900,0.0,215
1901,0.0055,183
1902,0.0048,209
1903,0.0104,193
1904,0.0107,187
1905,0.0,211
1906,0.0056,236
1907,0.0052,193
1908,0.0054,186
1909,0.0022,225
1910,0.0069,218
1911,0.0093,215
1912,0.0098,205
1913,0.0,208
1914,0.0065,153
1915,0.0,163
1916,0.0,147
1917,0.0067,149
1918,0.0,111
1919,0.0074,136
1920,0.0058,173
1921,0.0065,154
1922,0.0066,151
1923,0.0,108
1924,0.0,109
1925,0.0,88
1926,0.0,94
1927,0.0,97
1928,0.0,88
1929,0.0047,106
1930,0.0102,98
1931,0.0208,96
1932,0.0,89
1933,0.0,80
1934,0.0,68
1935,0.0,88
1936,0.009,111
1937,0.0,91
1938,0.0,93
1939,0.0,75
1940,0.0,89
1941,0.0,73
1942,0.0123,81
1943,0.0,66
1944,0.0,55
1945,0.0,74
1946,0.0,86
1947,0.0041,123
1948,0.0101,99
1949,0.013,115
1950,0.0167,120
1951,0.0084,119
1952,0.0,106
1953,0.0049,102
1954,0.0,122
1955,0.0094,106
1956,0.0,111
1957,0.0088,113
1958,0.0,111
1959,0.0,115
1960,0.008,125
1961,0.0,147
1962,0.0141,142
1963,0.0054,184
1964,0.0133,150
1965,0.0,183
1966,0.0,189
1967,0.0089,224
1968,0.0,262
1969,0.0,286
1970,0.0079,254
1971,0.0,222
1972,0.0,201
1973,0.0051,196
1974,0.0055,181
1975,0.0,156
1976,0.0088,113
1977,0.0,139
1978,0.0071,141
1979,0.0,130
1980,0.0,112
1981,0.0,145
1982,0.0,127
1983,0.0,135
1984,0.0,136
1985,0.0,117
1986,0.0,111
1987,0.0065,155
1988,0.0064,157
1989,0.0078,128
1990,0.0,88
1991,0.0135,74
1992,0.0,69
1993,0.0,138
1994,0.0,169
1995,0.0119,168
1996,0.0079,127
1997,0.0206,97
1998,0.0,126
1999,0.0,75
2000,0.0056,60
2001,0.0,60
2002,0.0182,55
2003,0.0204,49
2004,0.0,41
2005,0.0,88
2006,0.0,102
2007,0.0,35
2008,0.0,64
2009,0.0,44
