date,ordinality,count
1857,0.2286,35
1860,0.0882,34
1867,0.1875,32
1869,0.319,35
1872,0.2742,31
1873,0.2688,31
1875,0.1508,42
1876,0.2375,40
1879,0.1818,33
1880,0.098,34
1881,0.3286,35
1882,0.2695,41
1883,0.1875,40
1884,0.2273,44
1885,0.1291,39
1886,0.2903,31
1887,0.2198,43
1888,0.3729,40
1889,0.3333,37
1890,0.3051,46
1891,0.2021,47
1892,0.1585,41
1893,0.3506,44
1894,0.3784,37
1895,0.1956,49
1896,0.1795,39
1897,0.2333,45
1898,0.2939,38
1899,0.288,68
1900,0.3289,38
1901,0.2024,35
1902,0.2414,54
1903,0.2817,42
1904,0.2164,57
1905,0.2234,47
1906,0.2411,56
1907,0.2732,61
1908,0.2315,54
1909,0.11,50
1910,0.1725,64
1911,0.2453,43
1912,0.148,58
1913,0.156,59
1914,0.1187,47
1915,0.1522,46
1916,0.3875,40
1918,0.1728,41
1919,0.2857,42
1920,0.1691,49
1921,0.139,59
1922,0.2247,66
1923,0.2879,33
1924,0.3009,36
1925,0.2892,37
1928,0.1667,33
1929,0.2727,33
1931,0.2105,38
1934,0.1912,34
1938,0.3286,35
1941,0.3158,38
1943,0.1176,34
1947,0.1847,48
1948,0.2976,42
1949,0.2244,45
1950,0.225,40
1951,0.2812,32
1954,0.2419,35
1955,0.2386,44
1957,0.3417,44
1958,0.1567,31
1959,0.2027,37
1960,0.3529,51
1961,0.2992,44
1962,0.1961,51
1963,0.1778,60
1964,0.3187,60
1965,0.2153,60
1966,0.2881,59
1967,0.3279,61
1968,0.2325,57
1969,0.3185,54
1970,0.2642,63
1971,0.3043,46
1972,0.4129,44
1973,0.3186,51
1974,0.4362,47
1975,0.301,49
1976,0.3343,43
1977,0.2877,65
1978,0.253,56
1979,0.3636,44
1980,0.3371,44
1981,0.2509,42
1982,0.3167,70
1983,0.3065,62
1984,0.3496,56
1985,0.3537,41
1986,0.4167,50
1987,0.3994,62
1988,0.2621,62
1989,0.2625,72
1990,0.2805,41
1991,0.4265,34
1992,0.3889,36
1993,0.4545,55
1994,0.2786,70
1995,0.2679,56
1996,0.25,76
1997,0.3986,46
1998,0.2514,59
1999,0.1364,44
2000,0.3625,40
2005,0.3818,55
2006,0.4314,34
