date,ordinality,count
1843,0.6671,32
1847,0.5934,38
1848,0.6376,42
1849,0.7694,42
1850,0.7182,55
1851,0.7785,51
1852,0.7784,47
1853,0.8032,74
1854,0.6762,66
1855,0.7487,63
1856,0.79,45
1857,0.7413,61
1858,0.7484,63
1859,0.7077,56
1860,0.7069,76
1861,0.6609,49
1864,0.7021,33
1865,0.6916,32
1866,0.6502,42
1867,0.8302,40
1868,0.7146,41
1869,0.7595,71
1870,0.8182,71
1871,0.6892,82
1872,0.642,75
1873,0.7475,90
1874,0.7156,98
1875,0.689,97
1876,0.7956,92
1877,0.7984,92
1878,0.7636,86
1879,0.8409,99
1880,0.864,91
1881,0.9065,114
1882,0.7998,83
1883,0.7596,101
1884,0.7954,136
1885,0.8019,97
1886,0.7798,100
1887,0.787,124
1888,0.7648,127
1889,0.7777,121
1890,0.7144,117
1891,0.6757,153
1892,0.7414,140
1893,0.7234,152
1894,0.7196,135
1895,0.783,152
1896,0.7598,136
1897,0.7116,154
1898,0.7208,130
1899,0.785,167
1900,0.7522,166
1901,0.7129,144
1902,0.7892,172
1903,0.7305,157
1904,0.6735,160
1905,0.7346,157
1906,0.7527,190
1907,0.6856,129
1908,0.6847,162
1909,0.7648,151
1910,0.7292,146
1911,0.6949,150
1912,0.7188,141
1913,0.7707,141
1914,0.7237,153
1915,0.7021,117
1916,0.6605,117
1917,0.646,108
1918,0.7884,114
1919,0.7578,129
1920,0.7378,128
1921,0.7093,117
1922,0.7027,126
1923,0.742,89
1924,0.7415,81
1925,0.7669,65
1926,0.7546,72
1927,0.7983,59
1928,0.7651,75
1929,0.6706,75
1930,0.7748,77
1931,0.7331,83
1932,0.7495,74
1933,0.6863,62
1934,0.7475,76
1935,0.8059,71
1936,0.7819,58
1937,0.7424,82
1938,0.7338,90
1939,0.6715,91
1940,0.7901,84
1941,0.8598,90
1942,0.7443,68
1943,0.714,69
1944,0.7123,61
1945,0.7907,70
1946,0.7436,83
1947,0.7758,100
1948,0.7735,102
1949,0.6944,113
1950,0.7364,126
1951,0.8274,118
1952,0.7939,136
1953,0.8321,121
1954,0.8343,104
1955,0.7667,129
1956,0.7935,136
1957,0.8183,148
1958,0.866,136
1959,0.8227,159
1960,0.8378,179
1961,0.7888,204
1962,0.8208,204
1963,0.8161,189
1964,0.8461,198
1965,0.8589,211
1966,0.8131,213
1967,0.8393,229
1968,0.8502,210
1969,0.8089,194
1970,0.8454,215
1971,0.8373,190
1972,0.8327,161
1973,0.8812,160
1974,0.8333,160
1975,0.8191,147
1976,0.8397,134
1977,0.8689,146
1978,0.8433,140
1979,0.8286,154
1980,0.825,129
1981,0.8596,142
1982,0.7985,154
1983,0.8338,150
1984,0.88,160
1985,0.8637,127
1986,0.8166,99
1987,0.9131,161
1988,0.8539,202
1989,0.9161,148
1990,0.8123,103
1991,0.874,101
1992,0.8258,106
1993,0.8658,156
1994,0.8823,202
1995,0.8789,195
1996,0.8842,144
1997,0.892,123
1998,0.9421,133
1999,0.8644,83
2000,0.8817,57
2001,0.8552,61
2002,0.9417,85
2003,0.8608,69
2004,0.9034,59
2005,0.9105,121
2006,0.8409,123
2007,0.9063,69
2008,0.8369,84
2009,0.8697,60
