date,ordinality,count
1847,0.0,42
1848,0.0,46
1849,0.0,31
1850,0.0,40
1851,0.0,36
1852,0.0,46
1853,0.0,44
1854,0.0,53
1855,0.0,46
1856,0.0476,42
1857,0.0,45
1858,0.0,33
1859,0.0196,51
1860,0.0244,41
1862,0.0,34
1864,0.0,34
1869,0.0323,31
1870,0.0,47
1871,0.0488,41
1872,0.0278,36
1873,0.0,35
1875,0.0,35
1876,0.0168,33
1878,0.0,35
1879,0.0455,44
1880,0.0256,39
1881,0.0,35
1882,0.0426,43
1883,0.0,42
1884,0.0271,47
1885,0.027,37
1887,0.0294,34
1888,0.0213,47
1889,0.0,40
1890,0.0,41
1891,0.0652,46
1892,0.0,43
1893,0.0,51
1894,0.0,43
1895,0.0426,47
1896,0.0045,44
1897,0.0385,52
1898,0.0255,55
1899,0.0123,81
1900,0.0,73
1901,0.0411,73
1902,0.043,62
1903,0.0526,38
1904,0.0159,63
1905,0.0096,52
1906,0.0392,51
1907,0.0227,44
1908,0.0,43
1909,0.0,54
1910,0.0052,64
1911,0.0185,54
1912,0.0,43
1913,0.0345,58
1914,0.0462,65
1915,0.0084,79
1916,0.0,72
1917,0.0,77
1918,0.0,83
1919,0.0102,98
1920,0.044,91
1921,0.0426,47
1922,0.0,64
1924,0.0171,35
1926,0.0294,34
1927,0.0,44
1928,0.0,37
1929,0.0,44
1930,0.0,36
1931,0.0,42
1932,0.0476,42
1933,0.0,38
1934,0.0,34
1935,0.0,46
1937,0.0086,58
1938,0.0128,47
1939,0.033,53
1940,0.0,48
1941,0.0426,47
1943,0.0,33
1947,0.0286,35
1949,0.0147,34
1950,0.0,39
1951,0.0,33
1952,0.0256,39
1953,0.0256,39
1956,0.0,43
1960,0.0502,31
1961,0.0,44
1962,0.0,49
1963,0.0147,48
1964,0.0217,46
1965,0.0,57
1966,0.0,49
1967,0.0204,49
1968,0.0238,68
1969,0.0,61
1970,0.0,65
1971,0.0,58
1972,0.0238,42
1973,0.0192,52
1974,0.0427,39
