date,ordinality,count
1967,0.1875,32
1972,0.2381,35
1973,0.125,32
1974,0.2222,36
1975,0.3281,32
1976,0.2312,62
1977,0.2289,67
1978,0.1885,61
1979,0.1891,94
1980,0.2458,59
1981,0.2576,66
1982,0.125,68
1983,0.2597,77
1984,0.307,57
1985,0.3042,63
1986,0.25,54
1987,0.226,64
1988,0.2113,71
1989,0.3065,62
1990,0.2286,70
1991,0.2751,63
1992,0.2641,68
1993,0.275,60
1994,0.3655,88
1995,0.3178,75
1996,0.3208,64
1997,0.2295,69
1998,0.3087,71
1999,0.3669,58
2000,0.3846,52
2001,0.2862,53
2002,0.3873,71
2003,0.3222,75
2004,0.3522,53
2005,0.4153,63
2006,0.413,46
2007,0.2826,46
2008,0.2542,59
2009,0.3257,57
2010,0.2772,50
2011,0.2804,38
