date,ordinality,count
1825,0.2188,32
1829,0.1562,32
1830,0.2162,37
1831,0.1667,33
1833,0.1765,34
1834,0.2326,43
1835,0.2208,40
1836,0.2375,40
1837,0.1667,36
1838,0.1866,38
1839,0.2429,56
1840,0.2071,35
1841,0.2106,36
1842,0.2719,38
1843,0.3737,33
1844,0.1592,56
1845,0.293,49
1846,0.2053,60
1847,0.2489,47
1848,0.2804,63
1849,0.1914,64
1850,0.1986,71
1851,0.2202,56
1852,0.2466,73
1853,0.1486,74
1854,0.2405,79
1855,0.2869,70
1856,0.1639,61
1857,0.0847,59
1858,0.3681,36
1859,0.1867,57
1860,0.3312,78
1861,0.2576,33
1862,0.2292,40
1864,0.3372,43
1866,0.2292,32
1867,0.0652,46
1868,0.1571,35
1869,0.2051,39
1870,0.337,46
1871,0.3182,44
1872,0.1905,42
1873,0.2286,35
1874,0.3077,39
1877,0.2361,36
1878,0.2941,34
1879,0.3421,38
1880,0.2857,56
1881,0.2763,38
1882,0.197,33
1883,0.2132,34
1884,0.1667,42
1886,0.2206,34
1887,0.4412,34
1888,0.359,39
1889,0.295,50
1890,0.2273,33
1891,0.2125,40
1892,0.2941,34
1893,0.1452,31
1895,0.2727,33
1897,0.3162,34
1898,0.3286,35
1899,0.3175,63
1900,0.3333,36
1901,0.3125,32
1902,0.3784,37
1903,0.3882,38
1905,0.2442,43
1907,0.2381,42
1908,0.4062,40
1909,0.1892,37
1910,0.3774,53
1911,0.4324,37
1912,0.2564,39
1914,0.3472,36
1917,0.3235,34
1918,0.3429,35
1951,0.1818,33
1952,0.4868,38
1953,0.3857,35
1955,0.2273,33
1957,0.2273,44
1958,0.1842,38
1959,0.3316,39
1960,0.2963,36
1961,0.3496,41
1962,0.2581,31
1963,0.387,59
1964,0.2556,45
1965,0.3333,57
1966,0.2247,56
1967,0.2411,56
1968,0.2803,66
1969,0.3457,81
1970,0.25,80
1971,0.3103,58
1972,0.4683,63
1973,0.3404,47
1974,0.2931,58
1975,0.3088,34
1976,0.3654,39
1977,0.3636,33
1978,0.3222,45
1979,0.3732,46
1980,0.4571,35
1981,0.2895,38
1982,0.3008,41
1983,0.2697,55
1984,0.3586,33
1985,0.3869,36
1987,0.2727,33
1988,0.3,50
1989,0.28,50
1993,0.3384,33
1994,0.3083,60
1995,0.3113,53
1996,0.2721,49
1998,0.3243,37
2006,0.4103,39
