date,ordinality,count
1814,1.0,30
1820,1.0,30
1823,1.0,31
1825,1.0,36
1826,1.0,31
1828,1.0,30
1829,1.0,31
1830,1.0,44
1831,1.0,39
1832,1.0,47
1833,1.0,43
1834,1.0,33
1835,1.0,52
1836,1.0,54
1837,1.0,47
1838,1.0,65
1839,1.0,62
1840,1.0,41
1841,1.0,49
1842,1.0,40
1843,1.0,64
1844,1.0,68
1845,1.0,95
1846,1.0,64
1847,1.0,87
1848,1.0,90
1849,1.0,93
1850,1.0,90
1851,1.0,96
1852,1.0,109
1853,1.0,93
1854,1.0,105
1855,1.0,117
1856,1.0,120
1857,1.0,79
1858,1.0,45
1859,1.0,114
1860,1.0,93
1861,1.0,57
1862,1.0,50
1863,1.0,39
1864,1.0,61
1865,1.0,55
1866,0.9878,82
1867,1.0,73
1868,1.0,56
1869,1.0,78
1870,1.0,84
1871,1.0,80
1872,1.0,78
1873,1.0,78
1874,1.0,53
1875,1.0,74
1876,1.0,69
1877,1.0,74
1878,1.0,83
1879,1.0,86
1880,1.0,115
1881,1.0,118
1882,1.0,117
1883,1.0,106
1884,1.0,128
1885,1.0,123
1886,1.0,102
1887,1.0,107
1888,1.0,109
1889,1.0,151
1890,1.0,108
1891,1.0,106
1892,1.0,122
1893,1.0,128
1894,1.0,109
1895,1.0,122
1896,0.9915,118
1897,1.0,132
1898,1.0,139
1899,1.0,189
1900,1.0,163
1901,1.0,128
1902,1.0,154
1903,1.0,177
1904,1.0,164
1905,1.0,142
1906,1.0,147
1907,1.0,153
1908,1.0,156
1909,1.0,154
1910,1.0,166
1911,1.0,145
1912,1.0,147
1913,1.0,150
1914,1.0,130
1915,1.0,143
1916,1.0,140
1917,1.0,123
1918,1.0,115
1919,1.0,137
1920,1.0,126
1921,1.0,97
1922,1.0,157
1923,1.0,75
1924,1.0,74
1925,1.0,84
1926,1.0,79
1927,1.0,60
1928,1.0,63
1929,1.0,83
1930,1.0,86
1931,1.0,79
1932,1.0,60
1933,1.0,53
1934,0.9796,49
1935,1.0,71
1936,1.0,75
1937,1.0,79
1938,1.0,75
1939,1.0,75
1940,1.0,86
1941,1.0,60
1942,1.0,70
1943,0.9792,48
1944,1.0,43
1945,0.9833,60
1946,1.0,86
1947,1.0,86
1948,1.0,80
1949,0.9875,80
1950,1.0,90
1951,1.0,49
1952,1.0,82
1953,1.0,77
1954,0.9692,65
1955,0.99,100
1956,0.961,77
1957,0.9889,90
1958,0.9535,86
1959,0.9524,84
1960,0.9904,104
1961,1.0,117
1962,1.0,94
1963,0.9915,118
1964,1.0,103
1965,1.0,110
1966,1.0,106
1967,0.9831,118
1968,0.9774,133
1969,0.9932,146
1970,0.9829,117
1971,1.0,125
1972,1.0,99
1973,1.0,107
1974,0.9912,114
1975,1.0,105
1976,1.0,82
1977,1.0,118
1978,1.0,121
1979,1.0,128
1980,0.988,83
1981,1.0,129
1982,1.0,129
1983,0.9524,105
1984,1.0,119
1985,1.0,99
1986,1.0,86
1987,1.0,114
1988,1.0,126
1989,1.0,99
1990,0.9872,78
1991,1.0,68
1992,0.9896,96
1993,0.9856,209
1994,1.0,343
1995,0.9964,275
1996,1.0,184
1997,0.9907,107
1998,1.0,166
1999,1.0,97
2000,1.0,58
2001,0.9655,58
2002,1.0,57
2003,1.0,51
2004,1.0,48
2005,0.9783,138
2006,1.0,147
2007,1.0,41
2008,0.9901,101
2009,1.0,104
