date,ordinality,count
1889,0.9677,31
1906,1.0,33
1911,0.9487,39
1912,1.0,43
1913,0.9706,34
1914,1.0,32
1915,1.0,41
1916,1.0,35
1917,0.9474,38
1918,0.9706,34
1919,0.9773,44
1920,1.0,49
1921,0.98,50
1922,0.9853,68
1924,1.0,31
1926,0.9891,46
1928,1.0,41
1930,0.9497,53
1931,0.9756,41
1932,1.0,42
1933,0.973,37
1934,0.95,40
1935,0.9474,38
1937,0.9825,57
1938,0.96,50
1939,0.9773,44
1940,1.0,39
1941,1.0,38
1942,1.0,34
1944,0.9348,46
1945,1.0,39
1946,0.9762,42
1947,0.9344,61
1948,0.9825,57
1949,0.9833,60
1950,0.9434,53
1951,1.0,53
1952,0.9804,51
1953,0.9732,56
1954,1.0,43
1955,1.0,50
1956,1.0,68
1957,0.9851,67
1958,0.963,54
1959,0.9853,68
1960,0.9826,86
1961,1.0,73
1962,0.9873,79
1963,1.0,80
1964,1.0,95
1965,0.9848,66
1966,1.0,79
1967,1.0,90
1968,0.9727,110
1969,1.0,97
1970,1.0,92
1971,0.9694,98
1972,1.0,88
1973,1.0,97
1974,0.9919,123
1975,0.9906,106
1976,1.0,108
1977,0.9833,120
1978,0.9924,131
1979,0.9903,103
1980,0.9926,136
1981,0.975,120
1982,0.9926,136
1983,0.971,138
1984,0.9837,123
1985,1.0,96
1986,0.9924,132
1987,0.9609,128
1988,0.9936,156
1989,0.9773,132
1990,0.9844,128
1991,1.0,104
1992,1.0,93
1993,0.9931,144
1994,0.9955,221
1995,0.9883,171
1996,0.9931,217
1997,0.9932,147
1998,0.9869,153
1999,0.9893,125
2000,0.9818,110
2001,0.9904,104
2002,0.9904,104
2003,1.0,87
2004,1.0,79
2005,0.9855,172
2006,0.9737,152
2007,1.0,84
2008,0.9811,106
2009,1.0,76
2010,0.9706,34
