date,ordinality,count
1853,0.1333,30
1880,0.1818,33
1887,0.1,30
1889,0.0857,35
1892,0.2258,31
1895,0.2581,31
1896,0.2683,41
1898,0.1026,39
1899,0.0462,65
1900,0.06,50
1901,0.0294,34
1902,0.0714,42
1903,0.1176,34
1904,0.0278,36
1905,0.0426,47
1906,0.1364,44
1907,0.1923,52
1908,0.1429,49
1909,0.0513,39
1910,0.1951,41
1911,0.1692,65
1912,0.0,44
1913,0.1774,62
1914,0.0952,42
1915,0.1556,45
1916,0.1,50
1917,0.2571,35
1919,0.1176,51
1920,0.2326,43
1921,0.1064,47
1922,0.1176,34
1923,0.2286,35
1927,0.1389,36
1928,0.275,40
1930,0.1053,38
1931,0.0976,41
1933,0.1579,38
1936,0.0294,34
1938,0.0909,44
1939,0.1515,33
1940,0.1212,33
1942,0.1795,39
1947,0.0408,49
1948,0.1458,48
1949,0.1957,46
1950,0.0256,39
1951,0.1364,44
1952,0.1053,38
1953,0.025,40
1954,0.1455,55
1955,0.0732,41
1956,0.0943,53
1957,0.122,41
1958,0.06,50
1959,0.0976,41
1960,0.0741,54
1961,0.1132,53
1962,0.0714,56
1963,0.1047,86
1964,0.0536,56
1965,0.0588,85
1966,0.1143,70
1967,0.1127,71
1968,0.0563,71
1969,0.0357,84
1970,0.1111,63
1971,0.1714,70
1972,0.1233,73
1973,0.1791,67
1974,0.0988,81
1975,0.1154,78
1976,0.1493,67
1977,0.027,74
1978,0.0549,91
1979,0.0789,76
1980,0.0366,82
1981,0.0686,102
1982,0.121,124
1983,0.084,119
1984,0.0886,79
1985,0.1091,55
1986,0.1356,59
1987,0.0795,88
1988,0.0708,113
1989,0.093,86
1990,0.1029,68
1991,0.1094,64
1992,0.0857,70
1993,0.1286,140
1994,0.0773,181
1995,0.1066,122
1996,0.1463,82
1997,0.0896,67
1998,0.1538,78
1999,0.0233,43
2000,0.093,43
2001,0.0541,37
2002,0.0294,34
2003,0.1026,39
2004,0.0182,55
2005,0.0556,72
2006,0.08,75
2007,0.125,40
2008,0.0517,58
2009,0.1471,34
