date,ordinality,count
1974,0.197,33
1975,0.3243,37
1977,0.2619,42
1978,0.3514,37
1979,0.2135,32
1980,0.3117,54
1981,0.2014,72
1982,0.2674,66
1983,0.2462,65
1984,0.2363,61
1985,0.23,50
1986,0.3583,40
1987,0.2045,44
1988,0.2727,66
1989,0.2512,67
1990,0.1381,35
1991,0.2008,33
1992,0.2667,45
1993,0.2703,74
1994,0.1538,104
1995,0.1883,81
1996,0.3266,74
1997,0.2381,42
1998,0.1871,57
2000,0.1863,34
2001,0.1757,37
2002,0.1304,46
2004,0.1,40
2005,0.2277,56
2006,0.2485,55
2007,0.1719,32
2008,0.3788,33
2009,0.2581,33
