date,ordinality,count
1889,1.0,31
1899,0.9667,30
1908,0.9697,33
1910,0.9444,36
1911,0.9362,47
1912,0.9592,49
1913,1.0,56
1914,0.9385,65
1915,0.9565,115
1916,1.0,45
1917,0.9821,56
1918,0.9917,120
1919,0.9405,84
1920,0.9062,96
1921,0.8947,95
1922,0.9773,132
1923,0.9091,55
1924,0.9259,54
1925,0.9322,59
1926,0.9143,35
1927,1.0,43
1928,1.0,47
1929,0.9342,76
1930,0.9821,56
1931,0.9423,52
1932,0.9483,58
1933,0.931,58
1934,0.98,50
1935,0.9535,43
1936,0.9385,65
1937,0.9804,51
1938,0.942,69
1939,0.8852,61
1940,0.9231,65
1941,0.8846,78
1942,0.9875,80
1943,0.9206,63
1944,0.9048,63
1945,0.9067,75
1946,0.9647,85
1947,0.9588,97
1948,0.9328,119
1949,0.9368,95
1950,0.9091,99
1951,0.9211,76
1952,0.92,75
1953,0.9569,116
1954,0.9655,87
1955,0.8962,106
1956,0.8861,79
1957,0.9146,82
1958,0.8851,87
1959,0.9192,99
1960,0.9419,172
1961,0.8699,146
1962,0.9384,146
1963,0.8859,149
1964,0.7526,97
1965,0.8585,106
1966,0.878,123
1967,0.8898,118
1968,0.9009,111
1969,0.8992,129
1970,0.8092,131
1971,0.8393,168
1972,0.8764,259
1973,0.8373,166
1974,0.8208,279
1975,0.7816,261
1976,0.7625,261
1977,0.7922,332
1978,0.8399,406
1979,0.8839,310
1980,0.8567,328
1981,0.8618,275
1982,0.8667,240
1983,0.8728,283
1984,0.9136,301
1985,0.8971,204
1986,0.8538,171
1987,0.9301,229
1988,0.8933,225
1989,0.887,230
1990,0.875,168
1991,0.9018,163
1992,0.8473,203
1993,0.8883,412
1994,0.9174,642
1995,0.9355,589
1996,0.9658,292
1997,0.9085,142
1998,0.9369,206
1999,0.9111,135
2000,0.9651,229
2001,0.9773,132
2002,0.9672,122
2003,0.9302,129
2004,0.9531,64
2005,0.9781,320
2006,0.8968,126
2007,0.9381,97
2008,0.9383,81
2009,0.9745,275
