date,ordinality,count
1903,0.3743,32
1905,0.3375,40
1908,0.381,35
1909,0.3202,38
1910,0.2568,37
1911,0.5379,33
1912,0.2027,37
1913,0.3514,37
1914,0.3485,44
1915,0.3171,41
1917,0.5163,45
1918,0.2917,36
1920,0.3571,42
1921,0.2812,32
1922,0.3875,40
1942,0.2328,34
1963,0.3714,35
1969,0.3243,37
1972,0.4706,34
1973,0.3604,37
1974,0.3095,42
1975,0.2051,39
1976,0.3243,34
1977,0.3182,44
1978,0.381,42
1980,0.3254,40
1981,0.3049,41
1982,0.4048,56
1983,0.2946,43
1984,0.383,47
1985,0.2785,46
1986,0.3968,42
1987,0.3875,40
1988,0.3729,59
1989,0.2708,48
1990,0.1571,35
1991,0.4899,33
1993,0.3585,53
1994,0.4376,75
1995,0.3509,57
1996,0.3409,66
1998,0.449,49
1999,0.4132,38
2005,0.3077,39
2006,0.4512,41
