date,ordinality,count
1805,0.2688,31
1811,0.1559,31
1812,0.2222,36
1813,0.1495,36
1816,0.125,36
1817,0.2297,37
1818,0.187,41
1819,0.3125,32
1820,0.1471,51
1821,0.25,32
1822,0.1667,36
1823,0.187,45
1824,0.263,45
1825,0.15,60
1826,0.1951,41
1827,0.2713,43
1828,0.1995,66
1829,0.2771,60
1830,0.1781,73
1831,0.2378,75
1832,0.1494,77
1833,0.2982,83
1834,0.1636,78
1835,0.2444,90
1836,0.2083,98
1837,0.2561,82
1838,0.2605,79
1839,0.132,101
1840,0.3076,97
1841,0.1316,95
1842,0.1329,74
1843,0.2727,77
1844,0.254,113
1845,0.2475,129
1846,0.2708,120
1847,0.1986,115
1848,0.3375,139
1849,0.2595,131
1850,0.2093,176
1851,0.1806,132
1852,0.2253,145
1853,0.228,212
1854,0.2472,176
1855,0.2249,181
1856,0.3277,213
1857,0.1771,160
1858,0.2583,148
1859,0.1855,217
1860,0.2556,211
1861,0.2717,138
1862,0.2214,102
1863,0.2205,116
1864,0.2505,153
1865,0.1835,109
1866,0.2667,145
1867,0.2053,177
1868,0.2857,169
1869,0.2974,193
1870,0.2753,168
1871,0.2168,193
1872,0.2562,188
1873,0.2326,152
1874,0.2762,170
1875,0.237,180
1876,0.2376,201
1877,0.2667,175
1878,0.2239,150
1879,0.2866,197
1880,0.252,218
1881,0.2548,207
1882,0.2348,206
1883,0.2515,248
1884,0.2397,245
1885,0.2918,245
1886,0.2689,241
1887,0.2891,236
1888,0.2455,260
1889,0.283,294
1890,0.2969,261
1891,0.2359,260
1892,0.2808,308
1893,0.2367,333
1894,0.2392,303
1895,0.3077,318
1896,0.2664,320
1897,0.2884,302
1898,0.2234,347
1899,0.2699,453
1900,0.2657,389
1901,0.2595,331
1902,0.2095,364
1903,0.2421,349
1904,0.2479,346
1905,0.2672,365
1906,0.269,418
1907,0.2719,418
1908,0.264,477
1909,0.2784,517
1910,0.2821,511
1911,0.2589,470
1912,0.2553,555
1913,0.2493,521
1914,0.2939,566
1915,0.3104,471
1916,0.2577,520
1917,0.2458,461
1918,0.2436,438
1919,0.2389,545
1920,0.2626,610
1921,0.2471,520
1922,0.2327,653
1923,0.2853,365
1924,0.2347,352
1925,0.2542,364
1926,0.2526,361
1927,0.295,363
1928,0.264,374
1929,0.2774,424
1930,0.303,431
1931,0.2716,448
1932,0.2338,397
1933,0.2605,306
1934,0.3012,367
1935,0.2803,393
1936,0.2763,430
1937,0.2406,462
1938,0.2887,500
1939,0.2458,436
1940,0.231,465
1941,0.2702,406
1942,0.2766,423
1943,0.2258,380
1944,0.2581,441
1945,0.2501,501
1946,0.2695,531
1947,0.271,645
1948,0.2378,681
1949,0.2806,725
1950,0.2737,748
1951,0.2708,708
1952,0.2509,682
1953,0.2838,747
1954,0.2663,759
1955,0.2374,816
1956,0.2599,855
1957,0.2289,793
1958,0.2286,865
1959,0.2676,956
1960,0.2532,1112
1961,0.2491,1068
1962,0.2744,1151
1963,0.2909,1319
1964,0.2686,1217
1965,0.2685,1390
1966,0.2559,1440
1967,0.2519,1604
1968,0.2658,1612
1969,0.2647,1629
1970,0.2469,1709
1971,0.2759,1624
1972,0.2753,1673
1973,0.2739,1649
1974,0.2729,1627
1975,0.2849,1618
1976,0.2709,1520
1977,0.2924,1876
1978,0.2732,1944
1979,0.2778,1755
1980,0.2808,1839
1981,0.2879,2012
1982,0.2832,1908
1983,0.269,1971
1984,0.2786,1984
1985,0.2738,1637
1986,0.2903,1734
1987,0.2706,2035
1988,0.2665,2403
1989,0.274,2063
1990,0.2742,1580
1991,0.273,1454
1992,0.2733,1651
1993,0.2707,2273
1994,0.2701,2858
1995,0.2661,2735
1996,0.2861,2288
1997,0.2901,1840
1998,0.2852,2032
1999,0.2998,1440
2000,0.2905,1114
2001,0.2562,1171
2002,0.2793,1355
2003,0.2913,1354
2004,0.2861,1354
2005,0.3164,2107
2006,0.285,1844
2007,0.3198,938
2008,0.2805,1295
2009,0.2766,995
2010,0.2854,472
2011,0.3358,216
2012,0.2976,177
2013,0.3096,102
2014,0.3061,119
2015,0.3485,66
2016,0.1952,35
2017,0.2204,31
