date,ordinality,count
1883,0.0882,34
1884,0.0952,63
1885,0.0606,33
1886,0.0825,97
1887,0.1075,93
1888,0.1798,89
1889,0.2222,36
1890,0.1395,43
1891,0.0545,55
1892,0.1194,67
1893,0.0923,65
1896,0.098,51
1903,0.129,31
1907,0.2333,30
1909,0.2105,38
1910,0.2059,34
1911,0.0526,38
1912,0.1081,37
1913,0.1818,33
1914,0.1961,51
1916,0.3235,34
1917,0.0909,33
1918,0.6699,103
1919,0.2833,60
1920,0.2075,53
1921,0.1522,46
1922,0.2553,47
1923,0.2727,33
1928,0.0968,31
1929,0.1562,32
1935,0.2941,34
1936,0.1489,47
1938,0.2051,39
1939,0.3077,39
1940,0.3125,32
1942,0.1562,32
1943,0.2195,41
1944,0.2791,43
1946,0.3721,43
1947,0.1765,51
1948,0.2419,62
1949,0.3284,67
1950,0.2542,59
1951,0.2368,76
1952,0.3824,68
1953,0.2787,61
1954,0.1842,76
1955,0.3088,68
1956,0.2857,84
1957,0.2179,78
1958,0.1905,84
1959,0.1842,76
1960,0.1899,79
1961,0.22,100
1962,0.178,118
1963,0.1942,103
1964,0.2212,113
1965,0.2124,113
1966,0.12,125
1967,0.1409,149
1968,0.1583,139
1969,0.2329,146
1970,0.2353,102
1971,0.25,132
1972,0.25,116
1973,0.246,126
1974,0.2014,144
1975,0.1944,108
1976,0.2411,141
1977,0.2736,201
1978,0.201,194
1979,0.2088,182
1980,0.2054,224
1981,0.215,214
1982,0.2412,257
1983,0.1982,217
1984,0.2149,228
1985,0.2701,174
1986,0.2062,160
1987,0.2098,205
1988,0.2628,293
1989,0.3093,194
1990,0.2203,118
1991,0.2437,119
1992,0.2722,169
1993,0.2893,363
1994,0.2228,404
1995,0.2005,364
1996,0.3195,241
1997,0.2449,147
1998,0.3262,187
1999,0.3167,120
2000,0.1961,102
2001,0.3,110
2002,0.2121,132
2003,0.2197,132
2004,0.2841,88
2005,0.1818,154
2006,0.3015,136
2007,0.2879,66
2008,0.2037,108
2009,0.2277,101
2010,0.3636,33
