date,ordinality,count
1936,0.6294,34
1937,0.2719,38
1941,0.3056,48
1949,0.3129,49
1950,0.3917,40
1951,0.4773,44
1953,0.3953,43
1954,0.4649,38
1955,0.3333,39
1956,0.3293,41
1957,0.3837,43
1958,0.2,40
1960,0.3173,52
1961,0.3704,54
1962,0.4236,48
1963,0.3333,45
1964,0.4592,49
1965,0.2941,34
1966,0.4831,59
1967,0.3558,52
1968,0.4224,58
1969,0.3068,44
1970,0.3864,66
1971,0.4467,50
1972,0.4118,68
1973,0.3125,64
1974,0.3943,82
1975,0.455,63
1976,0.3475,47
1977,0.345,57
1978,0.407,73
1979,0.3253,83
1980,0.2623,61
1981,0.4097,72
1982,0.3871,93
1983,0.3289,76
1984,0.3578,58
1985,0.4327,55
1986,0.4274,62
1987,0.4286,98
1988,0.2894,84
1989,0.3476,91
1990,0.3219,69
1991,0.4519,52
1992,0.386,57
1993,0.4755,102
1994,0.4268,157
1995,0.4242,132
1996,0.4728,131
1997,0.3611,88
1998,0.3743,131
1999,0.5023,60
2000,0.4379,51
2001,0.4362,47
2002,0.5451,57
2003,0.3721,43
2004,0.474,50
2005,0.3634,119
2006,0.475,100
2007,0.4674,46
2008,0.6538,65
2009,0.3929,70
2010,0.3861,36
