date,ordinality,count
1891,0.293,32
1892,0.1875,32
1893,0.2534,36
1894,0.2158,38
1895,0.2298,33
1896,0.3089,31
1899,0.1288,33
1900,0.1535,43
1901,0.2341,41
1902,0.1597,31
1903,0.3014,47
1905,0.2006,47
1906,0.1947,44
1907,0.2106,36
1909,0.313,36
1910,0.144,47
1911,0.1435,32
1912,0.2359,42
1913,0.2738,42
1914,0.2799,54
1916,0.2209,31
1918,0.1058,36
1920,0.2378,32
1921,0.0913,41
1922,0.2337,51
1923,0.1838,34
1948,0.2484,31
1949,0.1026,39
1953,0.1875,32
1954,0.1285,37
1957,0.2355,31
1958,0.2396,32
1960,0.1547,46
1961,0.2167,40
1962,0.1834,34
1963,0.1068,42
1964,0.2209,54
1965,0.2004,43
1966,0.0682,44
1967,0.149,40
1968,0.2386,48
1969,0.0999,52
1970,0.1652,70
1971,0.1996,62
1972,0.1654,63
1973,0.1745,68
1974,0.1987,65
1975,0.2075,74
1976,0.1402,70
1977,0.1451,59
1978,0.1045,65
1979,0.2719,57
1980,0.2139,74
1981,0.1033,71
1982,0.1856,85
1983,0.1122,74
1984,0.1829,68
1985,0.213,54
1986,0.1706,63
1987,0.2328,58
1988,0.2251,69
1989,0.2224,61
1990,0.1321,40
1991,0.2212,39
1992,0.1477,44
1993,0.0815,45
1994,0.1249,66
1995,0.1312,79
1996,0.1079,58
1997,0.107,54
1998,0.1603,78
1999,0.1361,49
2000,0.1581,43
2001,0.1042,35
2002,0.0619,41
2003,0.2379,34
2005,0.0703,61
2006,0.1076,61
2007,0.0645,31
2008,0.2024,35
2009,0.169,39
