date,ordinality,count
1852,0.4657,34
1854,0.6094,32
1855,0.6458,36
1856,0.8387,31
1858,0.6161,31
1859,0.649,33
1860,0.7353,34
1866,0.75,32
1868,0.8241,36
1869,0.801,43
1870,0.6213,43
1871,0.7917,44
1873,0.831,38
1874,0.7417,40
1876,0.7677,33
1877,0.8249,59
1878,0.8286,42
1879,0.7059,34
1880,0.8595,35
1881,0.7519,45
1882,0.9137,48
1883,0.8004,39
1884,0.8487,68
1885,0.7939,55
1886,0.6967,50
1887,0.7373,59
1888,0.8067,50
1889,0.904,66
1890,0.8708,48
1891,0.8297,46
1892,0.8611,36
1893,0.7471,58
1894,0.9387,53
1895,0.8042,63
1896,0.8234,67
1897,0.7959,49
1898,0.9384,46
1899,0.8011,62
1900,0.8769,65
1901,0.8026,76
1902,0.8029,52
1903,0.7896,61
1904,0.782,61
1905,0.8958,48
1906,0.8246,57
1907,0.7513,53
1908,0.77,50
1909,0.9114,79
1910,0.7366,62
1911,0.8822,58
1912,0.8545,55
1913,0.7302,63
1914,0.7833,60
1915,0.8167,60
1916,0.8704,54
1917,0.8596,57
1918,0.9375,40
1919,0.8077,39
1920,0.8391,58
1921,0.8291,56
1922,0.8167,60
1923,0.8485,33
1924,0.7963,45
1925,0.7838,37
1926,0.8421,35
1927,0.825,40
1928,0.75,46
1929,0.7138,46
1930,0.9186,43
1931,0.8184,39
1939,0.7073,41
1940,0.6935,31
1950,0.7763,38
1955,0.8841,46
1957,0.8021,32
1958,0.7339,33
1959,0.7798,42
1960,0.7952,31
1961,0.7766,47
1962,0.7653,49
1963,0.7737,38
1964,0.8283,33
1965,0.7443,44
1966,0.7872,47
1967,0.8333,58
1968,0.8333,54
1969,0.7845,58
1970,0.7321,56
1971,0.8889,39
1972,0.7016,43
1973,0.7321,56
1974,0.8191,47
1975,0.8333,42
1976,0.6324,34
1979,0.7525,33
1981,0.6912,34
1982,0.7255,34
1983,0.6786,38
1987,0.7708,32
1988,0.6465,33
1989,0.6892,37
1993,0.859,39
1995,0.5946,37
1996,0.5588,34
