date,ordinality,count
1800,0.7348,33
1804,0.9544,32
1810,0.9329,42
1811,0.8379,34
1813,0.9324,37
1814,1.0,32
1815,0.8989,47
1816,0.8484,43
1817,0.8766,32
1818,0.8572,51
1819,0.8896,36
1820,0.9333,33
1821,0.9384,51
1822,0.9244,46
1823,0.8561,58
1824,0.9138,60
1825,0.864,55
1826,0.9062,56
1827,0.9014,60
1828,0.8068,93
1829,0.9151,78
1830,0.8362,108
1831,0.8781,91
1832,0.8627,83
1833,0.9131,100
1834,0.8246,91
1835,0.7996,112
1836,0.8391,94
1837,0.8523,94
1838,0.8423,99
1839,0.7686,147
1840,0.8203,139
1841,0.8329,127
1842,0.7963,133
1843,0.8282,136
1844,0.8172,182
1845,0.7541,196
1846,0.7729,220
1847,0.8238,224
1848,0.7863,228
1849,0.7715,248
1850,0.8059,269
1851,0.7954,271
1852,0.7485,245
1853,0.7634,330
1854,0.8125,358
1855,0.7637,311
1856,0.7644,336
1857,0.8262,308
1858,0.7559,231
1859,0.7867,355
1860,0.7733,377
1861,0.803,217
1862,0.7465,159
1863,0.756,178
1864,0.7109,246
1865,0.7659,260
1866,0.7575,276
1867,0.7681,269
1868,0.7637,283
1869,0.7809,353
1870,0.7453,285
1871,0.7452,289
1872,0.7355,275
1873,0.7402,259
1874,0.7623,237
1875,0.7563,222
1876,0.7484,261
1877,0.7234,259
1878,0.7369,225
1879,0.6896,239
1880,0.7316,316
1881,0.6908,319
1882,0.7269,307
1883,0.666,332
1884,0.7189,303
1885,0.691,266
1886,0.707,322
1887,0.7093,301
1888,0.7025,294
1889,0.7496,377
1890,0.69,342
1891,0.6787,342
1892,0.7141,356
1893,0.7076,360
1894,0.7491,310
1895,0.7315,393
1896,0.6673,319
1897,0.6803,335
1898,0.6916,350
1899,0.6421,609
1900,0.6379,441
1901,0.6717,360
1902,0.6494,368
1903,0.6655,353
1904,0.6637,365
1905,0.6706,350
1906,0.6666,351
1907,0.6453,386
1908,0.6441,336
1909,0.6531,401
1910,0.6693,388
1911,0.6574,334
1912,0.6356,322
1913,0.6724,357
1914,0.6555,322
1915,0.5997,290
1916,0.5361,302
1917,0.6567,278
1918,0.5969,267
1919,0.6329,296
1920,0.6528,300
1921,0.6236,248
1922,0.647,299
1923,0.6147,158
1924,0.6719,161
1925,0.6511,119
1926,0.5999,133
1927,0.6621,136
1928,0.6428,126
1929,0.6558,174
1930,0.6923,157
1931,0.5953,132
1932,0.626,82
1933,0.6827,104
1934,0.5686,96
1935,0.7041,106
1936,0.5203,119
1937,0.6886,127
1938,0.6079,113
1939,0.5995,110
1940,0.6213,112
1941,0.6105,95
1942,0.6803,89
1943,0.6973,96
1944,0.6119,97
1945,0.7346,103
1946,0.632,134
1947,0.6199,116
1948,0.6806,160
1949,0.711,158
1950,0.6416,148
1951,0.6144,144
1952,0.6783,156
1953,0.6855,138
1954,0.6185,179
1955,0.6256,163
1956,0.6988,189
1957,0.6622,184
1958,0.7194,206
1959,0.6545,187
1960,0.731,231
1961,0.6859,239
1962,0.6094,235
1963,0.7191,279
1964,0.6291,234
1965,0.6429,263
1966,0.723,296
1967,0.7201,290
1968,0.6639,362
1969,0.7162,327
1970,0.6898,324
1971,0.6995,286
1972,0.6363,261
1973,0.6828,241
1974,0.6661,224
1975,0.6588,227
1976,0.6495,193
1977,0.6495,202
1978,0.626,224
1979,0.6421,204
1980,0.7017,208
1981,0.6805,257
1982,0.7029,250
1983,0.6787,257
1984,0.6987,234
1985,0.6316,197
1986,0.7081,182
1987,0.6548,242
1988,0.6462,277
1989,0.6689,231
1990,0.6582,144
1991,0.7184,154
1992,0.6285,142
1993,0.6326,246
1994,0.6316,300
1995,0.6272,321
1996,0.652,240
1997,0.6534,162
1998,0.665,203
1999,0.6492,160
2000,0.6055,94
2001,0.6324,85
2002,0.6156,103
2003,0.6906,109
2004,0.6268,113
2005,0.6268,222
2006,0.6908,200
2007,0.6629,97
2008,0.6399,151
2009,0.6946,92
2010,0.6241,47
