date,ordinality,count
1848,0.5278,36
1849,0.2333,30
1850,0.4857,35
1851,0.5556,45
1853,0.3056,36
1854,0.2857,35
1856,0.2791,43
1857,0.3077,39
1860,0.4468,47
1875,0.1944,36
1876,0.2553,47
1889,0.5833,48
1892,0.34,50
1893,0.381,42
1895,0.5312,32
1897,0.5946,37
1898,0.2708,48
1899,0.3111,45
1900,0.3273,55
1901,0.3958,48
1902,0.5,52
1903,0.62,50
1904,0.5319,47
1905,0.359,39
1906,0.4667,60
1907,0.4458,83
1908,0.375,64
1909,0.3019,53
1910,0.4127,63
1911,0.4762,63
1912,0.5132,76
1913,0.3056,72
1914,0.4444,63
1915,0.3457,81
1916,0.3333,78
1917,0.3474,95
1918,0.3016,63
1919,0.375,72
1920,0.172,93
1921,0.3625,80
1922,0.2806,139
1923,0.2464,69
1924,0.3768,69
1925,0.2131,61
1926,0.2206,68
1927,0.3623,69
1928,0.3115,61
1929,0.2703,74
1930,0.3333,90
1931,0.271,107
1932,0.3293,82
1933,0.2935,92
1934,0.3545,110
1935,0.2361,144
1936,0.192,125
1937,0.252,127
1938,0.3176,170
1939,0.254,189
1940,0.2266,203
1941,0.2365,148
1942,0.2683,205
1943,0.2561,164
1944,0.2273,176
1945,0.3889,126
1946,0.1959,148
1947,0.2047,171
1948,0.2261,199
1949,0.2922,243
1950,0.2819,259
1951,0.1863,204
1952,0.2863,227
1953,0.1991,211
1954,0.239,205
1955,0.3249,237
1956,0.2381,231
1957,0.2472,267
1958,0.2149,349
1959,0.2358,335
1960,0.1592,358
1961,0.2326,374
1962,0.24,400
1963,0.2388,356
1964,0.2096,539
1965,0.2637,493
1966,0.3269,621
1967,0.294,653
1968,0.2493,690
1969,0.2462,666
1970,0.2013,785
1971,0.266,733
1972,0.2742,879
1973,0.2819,979
1974,0.2398,984
1975,0.2302,1125
1976,0.2218,1046
1977,0.1838,1627
1978,0.2238,1756
1979,0.1687,1470
1980,0.1889,1456
1981,0.118,3424
1982,0.1848,1353
1983,0.2256,1485
1984,0.1086,3490
1985,0.2413,1401
1986,0.1881,1026
1987,0.1868,1349
1988,0.1874,1702
1989,0.1255,3490
1990,0.1745,997
1991,0.1378,1350
1992,0.1492,1548
1993,0.1677,2529
1994,0.1506,4197
1995,0.1565,2977
1996,0.233,2472
1997,0.0858,1957
1998,0.188,1245
1999,0.2246,953
2000,0.1915,564
2001,0.1694,555
2002,0.1852,621
2003,0.1721,639
2004,0.2532,849
2005,0.1893,951
2006,0.1841,945
2007,0.1969,523
2008,0.2088,589
2009,0.2333,523
2010,0.2063,252
2011,0.1667,120
2012,0.2037,54
2014,0.3667,30
