date,ordinality,count
1839,0.1806,36
1844,0.1895,34
1845,0.1786,42
1846,0.1436,47
1847,0.2071,33
1848,0.2431,48
1849,0.125,44
1850,0.1963,45
1851,0.1111,36
1852,0.1095,51
1853,0.2174,46
1854,0.131,42
1855,0.1532,62
1856,0.1717,53
1857,0.2111,45
1858,0.1562,32
1859,0.1224,49
1860,0.0953,64
1861,0.1294,34
1866,0.125,44
1867,0.0455,33
1868,0.1094,32
1869,0.0767,63
1870,0.1702,47
1871,0.0988,43
1872,0.1047,43
1873,0.162,36
1874,0.2564,39
1875,0.125,48
1876,0.2262,42
1877,0.1841,40
1878,0.0238,42
1879,0.1282,39
1880,0.1339,56
1881,0.1154,52
1882,0.2077,65
1883,0.15,44
1884,0.1087,46
1885,0.0797,46
1886,0.266,47
1887,0.1774,62
1888,0.2213,61
1889,0.1691,68
1890,0.1032,63
1891,0.15,60
1892,0.1487,65
1893,0.1864,59
1894,0.1415,53
1895,0.1977,59
1896,0.1493,67
1897,0.2205,46
1898,0.1371,62
1899,0.1168,115
1900,0.1825,71
1901,0.125,52
1902,0.1824,53
1903,0.2652,44
1904,0.1583,60
1905,0.125,40
1906,0.1038,53
1907,0.1339,56
1908,0.1901,64
1909,0.2,45
1910,0.1446,34
1911,0.1879,55
1912,0.1556,45
1913,0.1714,35
1914,0.1023,44
1915,0.2286,35
1962,0.0312,32
1964,0.0889,45
1965,0.1282,39
1966,0.122,41
1967,0.0351,57
1968,0.2045,44
1969,0.2955,44
1970,0.1373,51
1971,0.1565,37
1972,0.1395,43
1973,0.1576,46
1974,0.2233,50
1975,0.1562,32
1976,0.1611,34
1978,0.0857,35
1979,0.2083,32
1981,0.2432,37
1983,0.1143,35
1987,0.125,32
1988,0.2662,33
1989,0.027,37
1993,0.0463,54
1994,0.1064,47
1995,0.0577,52
1996,0.0877,57
1997,0.0769,52
1998,0.0,31
2006,0.1765,34
2008,0.0909,44
