date,ordinality,count
1890,0.1406,32
1898,0.0625,32
1899,0.0488,41
1900,0.1429,35
1904,0.0606,33
1905,0.125,32
1906,0.1739,46
1907,0.0606,33
1908,0.1081,37
1909,0.2545,55
1910,0.3023,43
1911,0.1818,33
1912,0.0588,34
1914,0.1238,35
1915,0.122,41
1916,0.1944,36
1917,0.1935,31
1919,0.1053,38
1922,0.0588,34
1946,0.1389,36
1948,0.1622,37
1949,0.1711,38
1950,0.1212,33
1952,0.2417,40
1953,0.1765,34
1955,0.0659,43
1956,0.2041,49
1957,0.1622,37
1958,0.2045,44
1959,0.1017,59
1960,0.1771,48
1961,0.1964,56
1962,0.1667,60
1963,0.1644,73
1964,0.1818,44
1965,0.1119,67
1966,0.1132,53
1967,0.1344,80
1968,0.2241,87
1969,0.1264,87
1970,0.1747,83
1971,0.15,80
1972,0.0934,91
1973,0.1117,94
1974,0.1298,95
1975,0.1004,88
1976,0.125,64
1977,0.2132,68
1978,0.1395,86
1979,0.0804,112
1980,0.128,82
1981,0.0801,129
1982,0.125,146
1983,0.0684,117
1984,0.0871,132
1985,0.0815,135
1986,0.0184,136
1987,0.055,218
1988,0.0518,280
1989,0.0658,233
1990,0.0315,185
1991,0.0503,159
1992,0.0382,170
1993,0.0483,300
1994,0.0595,412
1995,0.0319,429
1996,0.0469,320
1997,0.055,291
1998,0.042,380
1999,0.0615,195
2000,0.026,154
2001,0.0467,150
2002,0.0546,141
2003,0.0685,146
2004,0.0306,180
2005,0.0443,384
2006,0.0447,332
2007,0.0296,135
2008,0.0553,253
2009,0.0296,169
2010,0.0566,53
