date,ordinality,count
1844,0.5794,42
1845,0.4472,41
1846,0.455,37
1847,0.3291,39
1848,0.3824,34
1849,0.269,48
1850,0.4553,41
1851,0.3488,43
1853,0.4268,39
1854,0.3975,50
1855,0.6085,42
1857,0.3108,37
1858,0.3065,31
1859,0.2647,34
1865,0.5333,35
1866,0.2812,32
1867,0.5073,32
1868,0.3878,41
1869,0.3595,51
1870,0.3137,51
1871,0.3683,50
1872,0.2826,46
1875,0.3312,40
1876,0.4302,43
1878,0.2857,35
1879,0.4944,36
1880,0.5222,45
1881,0.2981,52
1882,0.3994,51
1883,0.4308,52
1884,0.4406,53
1885,0.3899,53
1886,0.4527,37
1887,0.4048,42
1888,0.3841,46
1889,0.5249,67
1890,0.4227,40
1891,0.4704,36
1892,0.3777,49
1893,0.5278,50
1894,0.3308,36
1895,0.3353,42
1896,0.3513,39
1897,0.3222,45
1898,0.3567,57
1899,0.4637,87
1900,0.2189,68
1901,0.4262,61
1902,0.4178,74
1903,0.4692,65
1904,0.3193,69
1905,0.3151,53
1906,0.3545,63
1907,0.4371,68
1908,0.4127,63
1909,0.3555,64
1910,0.5103,65
1911,0.3873,71
1912,0.4493,69
1913,0.4638,67
1914,0.5,46
1915,0.4182,44
1916,0.4,45
1917,0.4773,44
1918,0.3452,42
1919,0.5,42
1920,0.4133,50
1921,0.3732,46
1922,0.3942,52
1923,0.3902,41
1924,0.2907,43
1928,0.3939,33
1929,0.2344,32
1930,0.3611,36
1932,0.2381,42
1948,0.3958,36
1949,0.2527,31
1950,0.4388,49
1952,0.287,36
1953,0.351,41
1954,0.561,41
1955,0.25,40
1956,0.3307,50
1957,0.4762,42
1958,0.5,31
1959,0.3226,31
1960,0.5109,46
1961,0.3654,52
1962,0.316,48
1963,0.3984,62
1964,0.3016,42
1965,0.4266,59
1966,0.2762,70
1967,0.3359,61
1968,0.4354,59
1969,0.3522,62
1970,0.3362,58
1971,0.3735,54
1972,0.3637,45
1973,0.3509,57
1974,0.4574,47
1975,0.3478,46
1976,0.4559,34
1977,0.3698,42
1978,0.4478,47
1979,0.4793,41
1980,0.2523,37
1981,0.3821,41
1982,0.3684,38
1983,0.4727,34
1984,0.2685,36
1985,0.374,41
1987,0.4649,38
1988,0.5127,46
1989,0.3718,39
1990,0.3684,38
1993,0.4125,40
1994,0.4549,61
1995,0.3826,44
1996,0.3876,54
1997,0.375,34
1998,0.3645,43
1999,0.4265,34
2005,0.3648,45
2006,0.3118,31
2008,0.3742,46
