date,ordinality,count
1834,1.0,30
1835,0.973,37
1839,0.9667,30
1841,1.0,35
1844,0.9722,36
1845,0.9355,62
1846,1.0,30
1847,0.9811,53
1848,0.9804,51
1849,0.96,50
1850,0.9574,47
1851,0.9821,56
1852,0.974,77
1853,0.95,60
1854,0.987,77
1855,0.9851,67
1856,1.0,69
1857,1.0,61
1858,1.0,48
1859,0.9848,66
1860,0.9783,46
1861,1.0,40
1864,0.9714,35
1865,0.9032,31
1866,1.0,45
1867,1.0,67
1868,0.9767,43
1869,1.0,44
1870,1.0,44
1871,1.0,53
1872,0.9677,62
1873,0.9362,47
1874,0.9778,45
1875,0.961,77
1876,0.9636,55
1877,1.0,45
1878,0.98,50
1879,0.987,77
1880,1.0,60
1881,1.0,61
1882,0.9608,51
1883,0.98,50
1884,1.0,59
1885,0.9767,43
1886,1.0,54
1887,1.0,38
1888,0.9556,45
1889,0.9342,76
1890,0.9714,70
1891,0.9833,60
1892,1.0,46
1893,0.9512,41
1894,0.971,69
1895,0.9737,38
1896,1.0,69
1897,1.0,59
1898,0.9848,66
1899,0.9911,112
1900,1.0,79
1901,0.96,75
1902,0.9535,43
1903,0.9865,74
1904,0.9355,62
1905,0.95,60
1906,0.9324,74
1907,1.0,57
1908,0.9853,68
1909,0.9559,68
1910,0.9783,92
1911,0.9811,53
1912,0.9571,70
1913,0.9808,52
1914,0.9718,71
1916,1.0,58
1917,0.973,37
1918,0.9524,42
1919,1.0,58
1920,1.0,60
1922,1.0,47
1924,0.913,46
1927,0.9677,31
1928,0.9688,32
1929,0.925,40
1930,0.9,30
1936,1.0,38
1939,0.9667,30
1946,0.9667,30
1947,1.0,30
1949,1.0,37
1952,0.9756,41
1956,0.9487,39
1958,0.98,50
1959,0.9714,35
1960,1.0,48
1961,0.9298,57
1962,0.9423,52
1963,0.9783,46
1964,1.0,30
1965,0.9697,33
1966,0.9444,54
1967,0.9833,60
1968,0.931,58
1969,0.9583,48
1970,1.0,77
1971,0.9762,42
1972,0.9636,55
1973,1.0,55
1974,1.0,44
1975,1.0,90
1976,1.0,41
1977,0.8983,59
1978,0.9444,54
1979,1.0,44
1980,1.0,41
1981,1.0,53
1982,0.973,37
1983,0.9231,39
1984,0.9677,62
1985,0.9839,62
1986,0.8293,41
1987,0.9773,44
1988,1.0,64
1989,0.9423,52
1990,1.0,34
1992,0.8478,46
1993,0.9919,123
1994,0.9767,172
1995,0.9916,119
1996,0.9836,61
1998,0.9318,44
2001,1.0,32
2005,1.0,45
2006,0.9545,44
2008,0.9762,42
