date,ordinality,count
1962,0.4731,31
1965,0.4093,39
1966,0.4064,39
1967,0.2082,33
1968,0.2734,43
1969,0.3326,41
1970,0.1936,48
1971,0.2706,61
1972,0.2102,66
1973,0.1975,54
1974,0.2239,59
1975,0.1772,49
1976,0.1257,35
1977,0.2355,46
1978,0.1618,51
1979,0.2485,57
1980,0.1646,41
1981,0.1892,68
1982,0.1513,83
1983,0.1043,80
1984,0.0932,71
1985,0.1914,51
1986,0.2212,48
1987,0.2029,76
1988,0.1453,95
1989,0.162,80
1990,0.2037,36
1991,0.3555,41
1993,0.2312,43
1994,0.3117,88
1995,0.1466,73
1996,0.2051,39
1997,0.2616,36
2005,0.2167,33
2009,0.1121,31
