date,ordinality,count
1900,0.9394,33
1902,0.9516,31
1911,0.9818,55
1912,0.8421,38
1913,0.9583,48
1914,1.0,38
1918,1.0,32
1919,1.0,34
1920,1.0,40
1921,1.0,43
1922,1.0,45
1925,1.0,34
1927,1.0,31
1928,0.9762,42
1930,1.0,48
1931,1.0,40
1932,1.0,32
1933,1.0,39
1934,1.0,49
1935,1.0,47
1936,1.0,54
1937,1.0,45
1938,1.0,63
1939,0.9818,55
1940,0.9773,44
1941,1.0,44
1942,1.0,41
1943,0.9688,32
1944,0.9688,32
1945,1.0,34
1946,0.9737,38
1947,1.0,62
1948,0.9811,53
1949,1.0,62
1950,1.0,68
1951,0.9388,49
1952,0.9796,49
1953,1.0,47
1954,1.0,49
1955,1.0,51
1956,0.98,50
1957,1.0,55
1958,1.0,58
1959,0.9732,56
1960,1.0,57
1961,0.9873,79
1962,0.9891,92
1963,1.0,110
1964,0.9945,91
1965,0.9907,108
1966,0.9935,154
1967,0.9897,194
1968,0.9955,224
1969,1.0,217
1970,1.0,280
1971,0.9936,313
1972,1.0,395
1973,0.9967,357
1974,0.9898,393
1975,0.9973,367
1976,1.0,284
1977,0.9975,401
1978,0.9868,453
1979,1.0,402
1980,1.0,438
1981,0.9941,506
1982,0.9974,493
1983,0.996,496
1984,0.9916,475
1985,0.9963,358
1986,0.9972,356
1987,0.9937,476
1988,1.0,566
1989,0.9994,448
1990,1.0,264
1991,1.0,235
1992,0.9922,300
1993,0.9977,436
1994,0.9948,591
1995,0.9982,548
1996,0.9975,407
1997,1.0,293
1998,0.9972,356
1999,0.9934,151
2000,0.9837,153
2001,1.0,152
2002,0.9963,135
2003,0.9916,119
2004,1.0,143
2005,0.996,251
2006,1.0,237
2007,1.0,87
2008,1.0,142
2009,1.0,126
