date,ordinality,count
1899,0.4615,39
1900,0.3824,34
1904,0.2917,40
1906,0.3413,42
1907,0.4651,43
1909,0.2905,35
1910,0.4634,41
1911,0.2688,31
1912,0.3429,35
1913,0.5029,33
1914,0.439,41
1915,0.4118,34
1916,0.4017,43
1917,0.4211,38
1919,0.4688,32
1920,0.5714,35
1921,0.4176,33
1922,0.362,31
1932,0.3571,35
1938,0.4952,35
1949,0.5294,34
1950,0.4279,37
1952,0.5323,31
1954,0.5938,32
1955,0.3387,31
1956,0.4363,34
1957,0.5694,36
1958,0.4968,52
1959,0.3913,46
1960,0.5897,39
1961,0.5864,54
1962,0.4775,63
1963,0.5761,46
1964,0.3942,52
1965,0.4755,68
1966,0.5946,56
1967,0.5196,51
1968,0.5065,56
1969,0.6188,69
1970,0.5047,71
1971,0.5833,73
1972,0.4531,64
1973,0.6159,69
1974,0.4366,71
1975,0.5308,65
1976,0.5182,64
1977,0.4722,54
1978,0.4221,77
1979,0.5138,80
1980,0.5028,60
1981,0.4565,69
1982,0.412,75
1983,0.402,83
1984,0.3235,68
1985,0.3077,65
1986,0.2871,68
1987,0.4071,74
1988,0.4167,70
1989,0.3354,82
1990,0.5063,53
1991,0.4877,68
1992,0.6176,71
1993,0.5614,113
1994,0.4236,133
1995,0.4329,121
1996,0.3756,93
1997,0.3964,74
1998,0.5185,94
1999,0.5291,63
2000,0.3889,48
2001,0.3758,51
2002,0.4781,61
2003,0.36,50
2004,0.3224,75
2005,0.4509,93
2006,0.3726,78
2008,0.3244,56
2009,0.3558,52
