date,ordinality,count
1806,0.0,42
1816,0.0,36
1819,0.0,38
1831,0.0,31
1833,0.0,50
1837,0.0,33
1838,0.0,30
1839,0.0,35
1840,0.0,47
1844,0.0,36
1845,0.0,67
1846,0.0,84
1847,0.0,91
1848,0.0,46
1849,0.0123,81
1850,0.0,74
1851,0.0149,67
1852,0.0,86
1853,0.0,37
1854,0.0,72
1855,0.0137,73
1856,0.013,77
1857,0.0,75
1858,0.0,57
1859,0.0206,97
1860,0.0,88
1861,0.0,62
1862,0.0,69
1863,0.0,46
1864,0.0,85
1865,0.0,33
1866,0.0,117
1867,0.0,64
1868,0.0,80
1869,0.0,106
1870,0.0286,70
1871,0.04,75
1872,0.0,129
1873,0.013,77
1874,0.022,91
1875,0.0076,132
1876,0.0,48
1877,0.0128,78
1878,0.0,68
1879,0.0127,79
1880,0.0088,114
1881,0.0,111
1882,0.0233,43
1883,0.0,144
1884,0.0,127
1885,0.0267,75
1886,0.0116,86
1887,0.0127,79
1888,0.0179,56
1889,0.0093,108
1890,0.0,46
1891,0.0,111
1892,0.0149,67
1893,0.0303,66
1894,0.0,96
1895,0.0,97
1896,0.0,41
1897,0.0167,60
1898,0.0227,88
1899,0.0,68
1900,0.0339,118
1901,0.0227,88
1902,0.0254,118
1903,0.019,105
1904,0.0469,64
1905,0.0494,81
1906,0.0172,58
1907,0.0044,229
1908,0.0196,51
1909,0.0222,90
1910,0.0167,60
1911,0.0,119
1912,0.0328,122
1913,0.0135,74
1914,0.0,174
1915,0.0,150
1916,0.0082,122
1917,0.0159,126
1918,0.0,115
1919,0.0274,73
1920,0.0208,96
1921,0.0328,61
1922,0.0,111
1923,0.0465,43
1924,0.0667,45
1925,0.0333,30
1926,0.0682,44
1927,0.0,44
1928,0.025,40
1931,0.0,37
1932,0.0312,32
1933,0.037,54
1934,0.02,50
1936,0.0645,31
1937,0.0196,51
1938,0.0263,38
1940,0.0455,44
1942,0.0,33
1946,0.0323,31
1948,0.0222,90
1949,0.025,40
1950,0.04,50
1951,0.0,73
1952,0.05,40
1955,0.0,41
1960,0.0233,43
1962,0.0,32
1970,0.0455,44
1976,0.0462,65
1977,0.0,62
1980,0.0333,30
1981,0.075,40
1983,0.1,30
1990,0.0408,49
1991,0.0,33
1992,0.0571,35
1994,0.2286,35
1996,0.0526,38
2007,0.0244,41
