date,ordinality,count
1968,0.4263,35
1970,0.5796,43
1971,0.7397,43
1972,0.6122,49
1973,0.7039,55
1974,0.5807,58
1975,0.6716,68
1976,0.7477,62
1977,0.669,77
1978,0.6457,76
1979,0.6715,87
1980,0.6934,77
1981,0.5552,58
1982,0.7248,69
1983,0.7447,95
1984,0.6816,82
1985,0.6502,96
1986,0.6905,70
1987,0.5878,86
1988,0.6478,91
1989,0.7706,108
1990,0.7053,69
1991,0.7525,66
1992,0.6836,62
1993,0.6272,69
1994,0.7452,78
1995,0.7287,83
1996,0.7109,77
1997,0.5918,64
1998,0.7796,80
1999,0.6527,60
2000,0.7276,60
2001,0.6559,62
2002,0.6274,67
2003,0.7344,56
2004,0.7745,47
2005,0.7363,57
2006,0.7457,39
2007,0.6083,40
