date,ordinality,count
1897,0.8725,34
1908,0.6615,32
1909,0.5914,31
1913,0.7941,34
1920,0.4646,33
1943,0.6562,32
1947,0.7222,36
1948,0.5455,33
1949,0.5915,43
1951,0.4868,38
1952,0.6765,34
1953,0.5588,40
1954,0.55,40
1955,0.608,44
1956,0.625,44
1957,0.7646,40
1958,0.5947,48
1959,0.5152,66
1960,0.565,60
1961,0.4261,64
1962,0.5894,63
1963,0.7047,68
1964,0.6769,78
1965,0.586,94
1966,0.6894,88
1967,0.5943,94
1968,0.6437,101
1969,0.5662,78
1970,0.6491,76
1971,0.612,84
1972,0.5004,91
1973,0.4976,88
1974,0.6279,105
1975,0.6135,99
1976,0.6351,87
1977,0.6397,89
1978,0.6701,88
1979,0.6372,80
1980,0.6028,101
1981,0.5946,101
1982,0.5108,93
1983,0.5062,108
1984,0.6456,107
1985,0.4717,80
1986,0.5693,78
1987,0.6897,87
1988,0.5504,133
1989,0.5502,97
1990,0.5851,94
1991,0.6373,54
1992,0.5681,66
1993,0.5981,97
1994,0.6506,139
1995,0.6047,121
1996,0.6481,108
1997,0.6005,73
1998,0.6748,103
1999,0.5968,62
2000,0.6215,48
2001,0.5741,36
2002,0.7155,70
2003,0.7368,57
2004,0.6141,67
2005,0.6858,109
2006,0.6927,101
2007,0.5909,66
2008,0.7717,46
2009,0.6452,31
