date,ordinality,count
1866,0.0882,34
1868,0.129,31
1881,0.0938,32
1885,0.0238,42
1887,0.0303,33
1889,0.0286,35
1890,0.0789,38
1891,0.0,32
1892,0.0222,45
1893,0.0,31
1894,0.129,31
1895,0.0179,56
1896,0.0238,42
1897,0.0,55
1898,0.037,54
1899,0.1042,48
1900,0.025,40
1901,0.0536,56
1902,0.0,51
1903,0.0465,43
1904,0.0625,48
1905,0.0149,67
1906,0.0,61
1907,0.0526,57
1908,0.0678,59
1909,0.0345,58
1910,0.0167,60
1911,0.0366,82
1912,0.0,108
1913,0.0667,60
1914,0.0964,83
1915,0.0822,73
1916,0.0,70
1917,0.0,82
1918,0.0448,67
1919,0.0469,64
1920,0.0154,65
1921,0.0508,59
1922,0.0411,73
1923,0.0556,54
1924,0.0,32
1925,0.0,31
1926,0.0294,34
1927,0.0667,30
1928,0.0492,61
1929,0.0476,42
1930,0.0392,51
1931,0.0233,43
1932,0.0488,41
1934,0.0278,36
1935,0.0,50
1936,0.0,30
1937,0.0357,56
1938,0.0189,53
1939,0.0161,62
1940,0.0154,65
1941,0.0,59
1942,0.0,63
1943,0.0426,47
1944,0.0,57
1945,0.0,55
1946,0.0,44
1947,0.1148,61
1948,0.0,55
1949,0.0,71
1950,0.0099,101
1951,0.0159,63
1952,0.0333,60
1953,0.0,61
1954,0.0,85
1955,0.0526,57
1956,0.0678,59
1957,0.0204,49
1958,0.0278,72
1959,0.0385,78
1960,0.0189,53
1961,0.0465,43
1962,0.0116,86
1963,0.0455,66
1964,0.0877,57
1965,0.0316,95
1966,0.0405,74
1967,0.0357,56
1968,0.0,68
1969,0.0469,64
1970,0.0492,61
1971,0.0725,69
1972,0.0263,76
1973,0.1045,67
1974,0.1167,60
1975,0.1159,69
1976,0.037,81
1977,0.0,69
1978,0.0421,95
1979,0.0357,84
1980,0.026,77
1981,0.0101,99
1982,0.0471,85
1983,0.0227,88
1984,0.0617,81
1985,0.0274,73
1986,0.0448,67
1987,0.1,70
1988,0.0471,85
1989,0.0,65
1990,0.0417,72
1991,0.0361,83
1992,0.0268,112
1993,0.0404,99
1994,0.0496,121
1995,0.0714,126
1996,0.0247,81
1997,0.0444,45
1998,0.1224,49
1999,0.0278,36
2002,0.0682,44
2005,0.0294,34
2006,0.0,37
