date,ordinality,count
1959,0.9062,32
1960,0.7375,40
1961,0.8158,38
1962,0.8299,49
1963,0.85,40
1964,0.75,54
1965,0.7917,48
1966,0.8772,57
1967,0.7556,45
1968,0.803,66
1969,0.777,74
1970,0.8308,65
1971,0.7463,67
1972,0.8214,84
1973,0.7576,99
1974,0.741,83
1975,0.6736,72
1976,0.803,66
1977,0.7532,77
1978,0.7295,122
1979,0.757,107
1980,0.6277,94
1981,0.7254,122
1982,0.6757,148
1983,0.7011,150
1984,0.6802,172
1985,0.5873,126
1986,0.661,118
1987,0.7174,184
1988,0.6759,254
1989,0.6558,153
1990,0.6393,152
1991,0.6047,129
1992,0.6146,157
1993,0.635,268
1994,0.6444,385
1995,0.6675,385
1996,0.5884,327
1997,0.5919,265
1998,0.642,317
1999,0.5927,160
2000,0.5945,127
2001,0.5678,150
2002,0.5579,144
2003,0.6031,173
2004,0.596,184
2005,0.6389,396
2006,0.6057,377
2007,0.6067,150
2008,0.7004,247
2009,0.552,226
2010,0.6438,73
