date,ordinality,count
1846,0.6452,31
1847,0.6857,35
1851,0.7368,38
1852,0.8421,38
1853,0.7576,33
1854,0.5625,48
1855,0.6327,49
1856,0.7429,35
1857,0.7949,39
1858,0.7,30
1859,0.7,40
1860,0.9434,53
1861,0.75,32
1864,0.8182,33
1865,0.75,32
1866,0.75,52
1867,0.75,36
1869,0.907,43
1870,0.7292,48
1871,0.6857,35
1872,0.8235,51
1874,0.6905,42
1875,0.7429,35
1876,0.7727,66
1877,0.7451,51
1878,0.74,50
1879,0.7381,42
1880,0.7966,59
1881,0.72,50
1882,0.7778,72
1883,0.7167,60
1884,0.7188,64
1885,0.8734,79
1886,0.6721,61
1887,0.6964,56
1888,0.5593,59
1889,0.7089,79
1890,0.7568,111
1891,0.6901,71
1892,0.7303,89
1893,0.6707,82
1894,0.6923,52
1895,0.72,100
1896,0.7143,98
1897,0.6207,87
1898,0.8276,87
1899,0.7391,115
1900,0.7013,154
1901,0.6857,105
1902,0.6875,112
1903,0.6911,123
1904,0.7416,89
1905,0.6742,132
1906,0.6452,93
1907,0.75,132
1908,0.6961,102
1909,0.6762,105
1910,0.6697,109
1911,0.8,100
1912,0.7642,123
1913,0.7075,147
1914,0.6875,128
1915,0.7188,128
1916,0.7103,107
1917,0.7209,129
1918,0.625,80
1919,0.7049,61
1920,0.6458,96
1921,0.8085,94
1922,0.5909,88
1923,0.7531,81
1924,0.7097,62
1925,0.7812,64
1926,0.7625,80
1927,0.6825,63
1928,0.6622,74
1929,0.7255,51
1930,0.7476,103
1931,0.7615,109
1932,0.8,55
1933,0.8056,36
1934,0.8837,43
1935,0.8372,43
1936,0.7317,82
1937,0.7465,71
1938,0.7857,56
1939,0.6825,63
1940,0.7424,66
1941,0.7368,57
1942,0.7,60
1943,0.7708,48
1944,0.6667,36
1945,0.7333,60
1946,0.7925,53
1947,0.79,100
1948,0.7304,115
1949,0.8286,105
1950,0.6915,94
1951,0.7015,67
1952,0.8442,77
1953,0.8137,102
1954,0.6885,61
1955,0.8101,79
1956,0.8529,68
1957,0.8316,95
1958,0.7273,77
1959,0.7101,69
1960,0.7553,94
1961,0.7576,99
1962,0.7041,98
1963,0.8041,97
1964,0.8588,85
1965,0.802,101
1966,0.7317,123
1967,0.6875,112
1968,0.7987,159
1969,0.8107,169
1970,0.7692,91
1971,0.7438,121
1972,0.7778,144
1973,0.7582,153
1974,0.7638,127
1975,0.7805,123
1976,0.8158,114
1977,0.7769,121
1978,0.7662,154
1979,0.7,160
1980,0.7869,122
1981,0.8493,146
1982,0.8117,154
1983,0.7162,148
1984,0.8412,170
1985,0.8053,113
1986,0.6056,142
1987,0.8218,101
1988,0.7333,135
1989,0.8273,139
1990,0.8173,104
1991,0.7094,117
1992,0.8225,169
1993,0.8012,347
1994,0.6679,274
1995,0.7385,218
1996,0.8763,186
1997,0.8278,180
1998,0.7311,119
1999,0.781,105
2000,0.8393,56
2001,0.7556,45
2002,0.8772,57
2003,0.8269,52
2004,0.8043,46
2005,0.8932,103
2006,0.8421,95
2007,0.7561,41
2008,0.8333,54
2009,0.8723,47
