date,ordinality,count
1910,0.7667,33
1961,0.6303,36
1963,0.6072,37
1964,0.45,40
1965,0.4595,37
1966,0.6111,39
1968,0.5106,47
1969,0.444,42
1970,0.3857,35
1971,0.6982,40
1972,0.6278,45
1973,0.5379,44
1974,0.6556,45
1975,0.6351,37
1976,0.5116,43
1977,0.5877,38
1978,0.5778,45
1981,0.6212,48
1982,0.5541,49
1983,0.6256,41
1984,0.6066,37
1985,0.61,36
1986,0.5789,38
1987,0.7569,36
1988,0.6365,37
1989,0.6573,32
1993,0.5873,42
1994,0.7237,46
1995,0.6528,36
1996,0.5688,44
1997,0.6935,31
2006,0.5586,32
