date,ordinality,count
1917,0.3125,32
1921,0.4516,31
1948,0.4412,34
1952,0.4167,36
1959,0.6484,32
1960,0.4306,36
1961,0.5161,31
1962,0.5676,37
1963,0.2885,39
1964,0.3659,41
1965,0.4337,49
1966,0.3243,37
1967,0.5143,35
1968,0.2867,36
1969,0.4477,43
1970,0.3643,70
1971,0.316,53
1972,0.4423,52
1973,0.5926,54
1974,0.5182,55
1975,0.3191,47
1976,0.5803,39
1977,0.3927,55
1978,0.4727,55
1979,0.3913,46
1980,0.5,41
1981,0.3967,50
1982,0.375,48
1983,0.4082,49
1984,0.4667,53
1985,0.5422,36
1986,0.385,40
1987,0.527,37
1988,0.5098,51
1989,0.4781,57
1992,0.5,38
1993,0.3775,51
1994,0.4737,57
1995,0.375,63
1996,0.4971,53
1997,0.4844,32
1998,0.3792,40
2005,0.2755,49
2006,0.4412,34
