date,ordinality,count
1844,0.4667,30
1845,0.4571,35
1850,0.4103,39
1851,0.5128,39
1852,0.4524,42
1853,0.3333,57
1854,0.3684,57
1855,0.3404,47
1856,0.5588,34
1857,0.2895,38
1859,0.3538,65
1860,0.475,40
1863,0.4286,35
1864,0.3529,34
1865,0.3,50
1866,0.4054,37
1867,0.3636,44
1868,0.3529,34
1869,0.3208,53
1870,0.4,45
1871,0.3143,35
1872,0.4,50
1873,0.2727,33
1875,0.3571,42
1876,0.2424,33
1877,0.3846,39
1879,0.3778,45
1880,0.4524,42
1881,0.2444,45
1882,0.3818,55
1883,0.3333,72
1884,0.2745,51
1885,0.2128,47
1886,0.3966,58
1887,0.2727,44
1888,0.3556,45
1889,0.3571,56
1890,0.3333,45
1891,0.322,59
1892,0.25,44
1893,0.4444,54
1894,0.4118,51
1895,0.3448,58
1896,0.1967,61
1897,0.4884,43
1898,0.3279,61
1899,0.3761,117
1900,0.3103,87
1901,0.32,50
1902,0.2308,65
1903,0.3929,56
1904,0.3065,62
1905,0.2222,63
1906,0.3846,52
1907,0.4074,54
1908,0.2754,69
1909,0.2113,71
1910,0.2658,79
1911,0.2353,51
1912,0.338,71
1913,0.32,50
1914,0.2143,56
1915,0.3235,34
1916,0.2791,43
1917,0.4524,42
1918,0.3846,39
1919,0.3684,38
1920,0.2368,38
1921,0.2333,30
1922,0.2222,54
1923,0.4062,32
1927,0.4412,34
1929,0.3571,42
1930,0.4194,31
1936,0.1667,30
1945,0.4375,32
1946,0.3611,36
1947,0.2973,37
1948,0.25,40
1949,0.3429,35
1950,0.4146,41
1951,0.3488,43
1952,0.3333,51
1953,0.3611,36
1954,0.2632,38
1955,0.3,40
1956,0.2889,45
1957,0.3158,38
1958,0.2093,43
1959,0.4286,42
1960,0.3514,37
1961,0.4884,43
1962,0.3881,67
1963,0.3793,58
1964,0.2826,46
1965,0.3023,43
1966,0.3529,51
1967,0.375,48
1968,0.2833,60
1969,0.3382,68
1970,0.3871,62
1971,0.5,52
1972,0.4098,61
1973,0.2759,58
1974,0.3585,53
1975,0.2857,35
1976,0.2826,46
1977,0.3617,47
1978,0.28,50
1979,0.2542,59
1980,0.3906,64
1981,0.2,70
1982,0.2727,55
1983,0.254,63
1984,0.3846,52
1986,0.4348,46
1987,0.2676,71
1988,0.2969,64
1989,0.4103,39
1990,0.5227,44
1991,0.3191,47
1992,0.4643,56
1993,0.3507,134
1994,0.4172,163
1995,0.4,100
1996,0.3462,52
1997,0.2889,45
1998,0.2444,45
1999,0.3514,37
2003,0.4857,35
2005,0.35,40
2006,0.375,48
2008,0.3333,36
