date,ordinality,count
1845,0.75,36
1846,0.6562,32
1851,0.7262,42
1852,0.6,40
1853,0.7321,56
1854,0.7212,52
1855,0.6111,36
1856,0.6889,45
1857,0.6346,52
1858,0.6892,37
1859,0.5729,48
1860,0.7402,34
1865,0.6571,35
1866,0.7,35
1867,0.7021,47
1868,0.5135,37
1869,0.6731,52
1870,0.75,32
1871,0.5962,52
1872,0.7197,44
1874,0.6875,40
1875,0.6029,34
1876,0.6327,49
1877,0.5278,36
1878,0.4531,32
1879,0.7361,36
1880,0.6477,44
1881,0.5,34
1882,0.6444,45
1883,0.7642,53
1884,0.7,45
1885,0.7027,37
1886,0.5789,38
1887,0.4823,47
1888,0.7,40
1889,0.612,61
1890,0.5104,48
1891,0.561,41
1892,0.4348,46
1893,0.4231,39
1894,0.6,35
1895,0.625,60
1896,0.5854,41
1897,0.6486,37
1898,0.64,50
1899,0.6769,65
1900,0.6279,43
1901,0.6408,58
1902,0.6279,43
1903,0.5283,53
1904,0.4762,42
1905,0.5784,51
1906,0.5625,48
1907,0.54,50
1908,0.5952,42
1909,0.5426,47
1910,0.5682,44
1911,0.6154,39
1912,0.4722,36
1913,0.4028,36
1914,0.6053,38
1915,0.5641,39
1916,0.4375,32
1917,0.4714,35
1919,0.5935,31
1922,0.4211,38
1966,0.5263,38
1968,0.5106,47
1970,0.5,42
1971,0.4894,47
1972,0.6375,40
1975,0.4839,31
1995,0.6302,32
1996,0.4857,35
