date,ordinality,count
1865,1.0,42
1868,1.0,74
1870,1.0,39
1875,1.0,51
1880,1.0,115
1883,1.0,45
1884,1.0,71
1885,1.0,48
1886,1.0,44
1894,1.0,95
1897,1.0,160
1898,1.0,43
1900,1.0,39
1901,1.0,269
1902,1.0,76
1903,1.0,86
1904,1.0,51
1905,1.0,45
1906,1.0,136
1907,1.0,68
1908,1.0,42
1909,1.0,52
1910,1.0,49
1911,1.0,38
1912,1.0,53
1913,1.0,91
1915,1.0,244
1916,1.0,41
1917,1.0,314
1919,1.0,110
1920,1.0,167
1921,1.0,41
1922,1.0,271
1923,1.0,69
1924,1.0,41
1925,1.0,337
1926,1.0,58
1927,1.0,235
1928,1.0,62
1929,1.0,34
1930,1.0,157
1931,1.0,150
1932,1.0,175
1933,1.0,346
1934,1.0,40
1935,1.0,162
1936,1.0,305
1937,1.0,72
1939,1.0,41
1940,1.0,152
1941,1.0,97
1942,1.0,266
1943,1.0,35
1946,1.0,326
1947,1.0,130
1948,1.0,33
1949,1.0,196
1950,1.0,209
1951,1.0,199
1952,1.0,64
1953,1.0,156
1954,1.0,204
1955,1.0,127
1956,1.0,191
1957,1.0,50
1958,1.0,100
1959,1.0,175
1960,1.0,146
1961,1.0,172
1963,1.0,309
1964,1.0,282
1965,1.0,80
1966,1.0,53
1967,1.0,101
1968,1.0,134
1969,1.0,61
1970,1.0,59
1971,1.0,238
1972,1.0,176
1973,1.0,146
1974,1.0,130
1975,1.0,60
1976,1.0,188
1977,1.0,57
1978,1.0,142
1979,1.0,42
1980,1.0,61
1981,1.0,83
1982,1.0,69
1983,1.0,50
1984,1.0,53
1986,1.0,129
1987,1.0,105
1988,1.0,97
1989,1.0,42
1992,1.0,46
1993,1.0,315
1994,1.0,59
1995,1.0,49
1996,1.0,49
1998,1.0,32
2002,1.0,63
2006,1.0,58
2009,1.0,84
2010,1.0,81
