date,ordinality,count
1970,0.1875,32
1971,0.1395,43
1972,0.0734,53
1973,0.1148,61
1974,0.1347,86
1975,0.2299,87
1976,0.2093,86
1977,0.2215,114
1978,0.2741,109
1979,0.2455,129
1980,0.3003,111
1981,0.2183,118
1982,0.2157,153
1983,0.2513,152
1984,0.1812,160
1985,0.2435,140
1986,0.1998,141
1987,0.1893,184
1988,0.2017,281
1989,0.184,257
1990,0.1946,236
1991,0.1999,236
1992,0.1644,310
1993,0.1986,472
1994,0.1732,661
1995,0.1652,671
1996,0.1619,607
1997,0.1833,450
1998,0.1803,556
1999,0.2064,366
2000,0.2471,378
2001,0.2265,436
2002,0.2224,497
2003,0.239,491
2004,0.2136,487
2005,0.2121,738
2006,0.1921,691
2007,0.2563,402
2008,0.1966,652
2009,0.21,519
2010,0.1981,275
2011,0.2131,144
2012,0.2341,102
2013,0.1886,71
2014,0.1619,70
2015,0.3468,31
