date,ordinality,count
1830,0.1462,39
1831,0.0849,43
1832,0.1284,34
1833,0.058,46
1834,0.1421,31
1835,0.1355,53
1836,0.2053,44
1837,0.1373,34
1838,0.0386,42
1839,0.0698,59
1840,0.0828,59
1841,0.1764,55
1842,0.1553,43
1843,0.1433,50
1844,0.1608,64
1845,0.0479,56
1846,0.2178,82
1847,0.2533,64
1848,0.1685,73
1849,0.1505,92
1850,0.1093,93
1851,0.0861,82
1852,0.0938,80
1853,0.1223,112
1854,0.113,103
1855,0.0865,84
1856,0.0985,92
1857,0.1285,89
1858,0.1282,96
1859,0.0733,110
1860,0.1366,101
1861,0.0685,56
1862,0.1574,54
1863,0.0556,45
1864,0.1577,65
1865,0.207,62
1866,0.1684,77
1867,0.089,73
1868,0.0865,79
1869,0.1549,99
1870,0.1706,70
1871,0.1014,74
1872,0.1011,75
1873,0.1328,68
1874,0.1154,65
1875,0.1692,67
1876,0.1067,57
1877,0.1163,43
1878,0.1048,62
1879,0.1341,69
1880,0.1241,88
1881,0.1022,75
1882,0.1803,61
1883,0.1244,71
1884,0.1353,69
1885,0.147,66
1886,0.1182,55
1887,0.1582,59
1888,0.1974,77
1889,0.1258,89
1890,0.1732,77
1891,0.0779,77
1892,0.1736,72
1893,0.0693,77
1894,0.1304,69
1895,0.2194,72
1896,0.1534,73
1897,0.1317,62
1898,0.1646,82
1899,0.1366,146
1900,0.1348,94
1901,0.1774,62
1902,0.2471,58
1903,0.2101,69
1904,0.2388,67
1905,0.137,73
1906,0.1164,73
1907,0.0965,76
1908,0.1048,62
1909,0.1097,83
1910,0.2698,63
1911,0.2258,62
1912,0.1444,60
1913,0.1988,57
1914,0.1727,55
1915,0.155,43
1916,0.2154,52
1917,0.1518,56
1918,0.2051,39
1919,0.1684,48
1920,0.2439,41
1921,0.186,43
1922,0.2553,47
1924,0.2121,33
1930,0.2258,31
1946,0.1875,32
1949,0.371,31
1950,0.219,35
1953,0.1452,31
1956,0.2255,34
1957,0.3429,35
1958,0.2342,38
1959,0.1622,37
1960,0.2273,44
1961,0.1792,53
1962,0.1976,41
1963,0.1611,45
1964,0.2419,31
1965,0.2258,56
1966,0.2347,49
1967,0.305,53
1968,0.3074,45
1969,0.1194,67
1970,0.2344,64
1971,0.22,50
1972,0.2,40
1973,0.2016,43
1974,0.122,41
1975,0.25,32
1978,0.375,32
1979,0.2297,37
1981,0.2059,34
1982,0.2121,33
1983,0.3109,46
1987,0.0946,37
1988,0.25,38
1989,0.1316,38
1993,0.2656,32
1994,0.1667,48
1995,0.1892,37
1998,0.0968,31
