date,ordinality,count
1839,0.9394,33
1841,0.9,30
1843,0.975,40
1844,0.9778,45
1845,1.0,55
1846,0.9524,63
1847,1.0,62
1848,0.9688,64
1849,0.9808,52
1850,0.9206,63
1851,0.9851,67
1852,0.9464,56
1853,0.9863,73
1854,0.9579,95
1855,1.0,71
1856,0.9848,66
1857,0.8909,55
1858,0.9455,55
1859,1.0,71
1860,0.9828,58
1861,1.0,44
1863,0.9706,34
1864,0.9697,33
1865,0.9804,51
1866,1.0,61
1867,0.9667,60
1868,1.0,90
1869,1.0,84
1870,0.9821,56
1871,0.973,37
1872,0.9762,42
1873,1.0,47
1874,1.0,66
1875,1.0,53
1876,0.9865,74
1877,1.0,44
1878,1.0,49
1879,1.0,55
1880,1.0,75
1881,1.0,62
1882,0.9828,58
1883,0.961,77
1884,1.0,67
1885,0.9859,71
1886,0.8837,86
1887,0.9872,78
1888,1.0,83
1889,1.0,106
1890,1.0,94
1891,1.0,77
1892,0.9875,80
1893,0.9872,78
1894,0.9882,85
1895,0.9726,73
1896,0.9868,76
1897,1.0,72
1898,0.9756,82
1899,1.0,203
1900,1.0,131
1901,1.0,104
1902,1.0,94
1903,1.0,86
1904,0.9756,82
1905,1.0,78
1906,0.9907,108
1907,0.9905,105
1908,1.0,82
1909,1.0,73
1910,1.0,77
1911,0.988,83
1912,1.0,62
1913,1.0,77
1914,1.0,67
1915,1.0,64
1916,0.9559,68
1917,1.0,57
1918,1.0,55
1919,1.0,42
1920,1.0,56
1921,0.9783,46
1922,1.0,38
1923,1.0,41
1924,0.9796,49
1925,1.0,36
1926,1.0,32
1927,0.975,40
1928,1.0,50
1929,1.0,42
1930,1.0,50
1931,1.0,58
1936,1.0,44
1937,0.9783,46
1947,0.973,37
1948,1.0,38
1949,1.0,51
1950,1.0,55
1952,1.0,30
1953,1.0,42
1954,1.0,43
1955,1.0,33
1957,1.0,37
1958,1.0,53
1959,1.0,50
1960,1.0,38
1961,1.0,57
1962,1.0,58
1963,1.0,56
1964,0.9744,39
1965,0.9833,60
1966,1.0,63
1967,1.0,80
1968,1.0,87
1969,0.963,81
1970,0.9767,86
1971,1.0,60
1972,0.9767,86
1973,0.9718,71
1974,0.9688,64
1975,1.0,37
1976,1.0,51
1977,0.9773,44
1978,1.0,75
1979,1.0,65
1980,1.0,49
1981,0.9655,58
1982,0.963,54
1983,0.9615,52
1984,1.0,50
1985,1.0,40
1986,1.0,46
1987,1.0,50
1988,0.9841,63
1989,1.0,50
1991,1.0,46
1992,1.0,91
1993,1.0,78
1994,1.0,116
1995,1.0,84
1996,0.9706,34
1999,1.0,36
2005,1.0,34
