date,ordinality,count
1962,0.5865,37
1963,0.5179,42
1965,0.5556,36
1966,0.5143,35
1967,0.5244,41
1968,0.4574,43
1969,0.5146,57
1970,0.4627,46
1971,0.4955,74
1972,0.4661,59
1973,0.4323,62
1974,0.4007,99
1975,0.4687,73
1976,0.5336,62
1977,0.5904,83
1978,0.55,80
1979,0.5115,87
1980,0.4639,97
1981,0.3918,104
1982,0.4013,103
1983,0.4747,99
1984,0.4753,81
1985,0.4302,86
1986,0.4848,77
1987,0.4925,93
1988,0.4805,127
1989,0.5139,96
1990,0.5545,74
1991,0.4518,83
1992,0.5707,99
1993,0.5956,117
1994,0.4552,197
1995,0.4869,166
1996,0.466,152
1997,0.5232,151
1998,0.4552,132
1999,0.496,83
2000,0.4374,70
2001,0.6059,74
2002,0.5253,79
2003,0.5746,76
2004,0.5315,82
2005,0.4472,133
2006,0.6058,104
2007,0.4397,58
2008,0.513,77
2009,0.4694,49
2010,0.5128,39
