date,ordinality,count
1897,0.3333,32
1898,0.4115,32
1899,0.5216,32
1904,0.7505,33
1905,0.6353,34
1906,0.4457,43
1907,0.4848,33
1908,0.6476,35
1909,0.5769,39
1910,0.6667,36
1911,0.5748,41
1912,0.4651,43
1913,0.4641,46
1914,0.6364,33
1917,0.525,40
1920,0.5764,60
1929,0.5905,35
1930,0.6279,34
1931,0.5694,36
1932,0.5806,31
1937,0.6016,41
1938,0.5135,37
1939,0.5,34
1942,0.58,33
1946,0.7237,38
1947,0.6429,42
1948,0.5405,37
1949,0.5343,51
1950,0.7647,34
1952,0.5452,31
1953,0.6667,39
1954,0.6111,39
1955,0.5719,51
1956,0.6216,37
1957,0.473,37
1958,0.5833,48
1959,0.5727,56
1960,0.5607,61
1961,0.555,53
1962,0.5643,57
1963,0.7151,74
1964,0.5985,66
1965,0.5434,73
1966,0.4531,71
1967,0.4667,80
1968,0.5256,80
1969,0.6292,80
1970,0.5823,82
1971,0.6727,111
1972,0.5353,85
1973,0.5203,101
1974,0.5567,92
1975,0.6346,78
1976,0.6264,70
1977,0.626,84
1978,0.5118,85
1979,0.5018,92
1980,0.5813,84
1981,0.6161,94
1982,0.6163,86
1983,0.5072,97
1984,0.5621,94
1985,0.6086,76
1986,0.6587,63
1987,0.6461,81
1988,0.6379,87
1989,0.6384,105
1990,0.6246,66
1991,0.565,82
1992,0.6123,95
1993,0.5489,109
1994,0.6058,149
1995,0.6111,99
1996,0.5891,94
1997,0.5371,82
1998,0.601,99
1999,0.6548,56
2000,0.7424,55
2001,0.6685,56
2002,0.7222,63
2003,0.6225,63
2004,0.5908,51
2005,0.6033,98
2006,0.5333,60
2007,0.64,50
2008,0.5029,58
2009,0.5935,41
