date,ordinality,count
1854,0.1613,31
1872,0.2037,36
1880,0.2092,38
1883,0.1892,37
1884,0.1389,36
1885,0.1633,40
1886,0.197,33
1887,0.1417,40
1888,0.1974,39
1889,0.1883,40
1890,0.1711,38
1891,0.2903,31
1892,0.231,40
1893,0.2526,38
1894,0.2841,44
1895,0.1444,36
1896,0.2424,33
1897,0.1061,49
1898,0.1848,46
1899,0.1973,80
1900,0.2196,51
1901,0.2503,39
1902,0.2505,54
1903,0.1667,45
1904,0.1406,49
1905,0.1329,46
1906,0.1759,54
1907,0.1264,58
1908,0.151,48
1909,0.2245,49
1910,0.197,55
1911,0.2125,48
1912,0.2454,47
1913,0.2563,65
1914,0.0861,40
1915,0.175,40
1916,0.1701,42
1917,0.1429,49
1918,0.1293,49
1919,0.219,42
1920,0.2041,49
1921,0.1414,33
1922,0.1634,51
1923,0.0556,36
1925,0.2143,35
1926,0.228,31
1927,0.0901,37
1929,0.1951,41
1932,0.1727,33
1946,0.1406,32
1947,0.075,40
1950,0.097,33
1951,0.0686,35
1956,0.0294,34
1957,0.1524,35
1958,0.101,33
1960,0.0498,33
1961,0.1522,46
1962,0.1221,43
1963,0.175,40
1965,0.12,50
1966,0.0541,37
1967,0.1622,56
1968,0.2235,66
1969,0.2571,35
1970,0.1927,63
1971,0.125,48
1972,0.0732,41
1973,0.2443,44
1974,0.1591,44
1975,0.1341,41
1977,0.1148,45
1978,0.1892,37
1979,0.1667,39
1980,0.1515,33
1982,0.1176,34
1984,0.175,40
1985,0.0606,33
1986,0.1717,33
1987,0.1524,35
1988,0.0948,58
1989,0.0833,36
1993,0.1768,41
1994,0.1136,44
1995,0.2093,43
1996,0.1739,46
1997,0.2317,41
