date,ordinality,count
1805,0.5455,33
1810,0.4615,65
1811,0.2581,31
1812,0.7606,71
1813,0.4286,35
1814,0.434,53
1815,0.5128,39
1816,0.2909,55
1818,0.3333,48
1819,0.2203,59
1821,0.6,55
1822,0.35,40
1823,0.5122,41
1824,0.4545,55
1825,0.4625,80
1826,0.4773,44
1827,0.3947,76
1828,0.4955,111
1829,0.4722,36
1830,0.4127,63
1831,0.4828,58
1832,0.3509,57
1833,0.4909,55
1834,0.5079,63
1835,0.3125,64
1836,0.5,86
1837,0.4762,84
1838,0.4423,104
1839,0.4365,126
1840,0.4526,95
1841,0.5,82
1842,0.3699,73
1843,0.4122,131
1844,0.5864,162
1845,0.4348,92
1846,0.459,122
1847,0.4216,102
1848,0.4803,127
1849,0.4,95
1850,0.4389,180
1851,0.4553,123
1852,0.3186,113
1853,0.4744,156
1854,0.3526,173
1855,0.5818,275
1856,0.4302,172
1857,0.3716,183
1858,0.3608,97
1859,0.4094,127
1860,0.505,200
1861,0.6031,131
1862,0.386,57
1863,0.5392,102
1864,0.5397,126
1865,0.4821,112
1866,0.3889,108
1867,0.4057,106
1868,0.4298,114
1869,0.4,135
1870,0.6287,167
1871,0.6615,195
1872,0.3553,76
1873,0.3294,85
1874,0.3571,70
1875,0.403,67
1876,0.7188,160
1877,0.4844,64
1878,0.3163,98
1879,0.56,75
1880,0.3789,95
1881,0.3905,105
1882,0.4348,69
1883,0.5664,113
1884,0.3544,79
1885,0.2899,69
1886,0.6146,96
1887,0.3265,49
1888,0.3077,78
1889,0.3271,107
1890,0.5096,104
1891,0.2989,87
1892,0.4725,91
1893,0.3068,88
1894,0.48,50
1895,0.358,81
1896,0.4194,93
1897,0.4947,95
1898,0.5116,86
1899,0.6615,260
1900,0.5769,182
1901,0.4696,115
1902,0.5,98
1903,0.3704,81
1904,0.3881,67
1905,0.4079,76
1906,0.5926,81
1907,0.4157,89
1908,0.5556,90
1909,0.375,88
1910,0.3894,113
1911,0.5135,74
1912,0.5513,78
1913,0.4714,70
1914,0.5385,104
1915,0.4565,46
1916,0.5,50
1917,0.4756,82
1918,0.3014,73
1919,0.4118,68
1920,0.3415,41
1921,0.44,50
1922,0.5246,61
1923,0.3696,46
1924,0.5484,31
1925,0.4333,30
1927,0.7879,66
1928,0.7833,60
1930,0.5238,42
1934,0.5,32
1935,0.6129,31
1938,0.4839,31
1939,0.5588,34
1940,0.5854,41
1941,0.5405,37
1942,0.6379,58
1943,0.2286,35
1948,0.569,58
1949,0.5556,45
1950,0.5303,66
1951,0.4909,55
1952,0.4419,43
1953,0.3774,53
1955,0.3929,56
1956,0.375,48
1957,0.6786,56
1958,0.4727,55
1959,0.4615,52
1960,0.4737,57
1961,0.4103,78
1962,0.3855,83
1963,0.5167,60
1964,0.6125,80
1965,0.4353,85
1966,0.3729,59
1967,0.5789,57
1968,0.525,80
1969,0.5116,86
1970,0.4052,116
1971,0.5323,62
1972,0.5424,59
1973,0.5,48
1974,0.6154,65
1975,0.449,49
1976,0.5429,35
1977,0.5,44
1978,0.4839,62
1979,0.2941,51
1980,0.4375,48
1981,0.4423,52
1982,0.7097,31
1983,0.561,41
1984,0.6136,88
1985,0.6136,44
1986,0.597,67
1987,0.4634,41
1988,0.5769,52
1989,0.4658,73
1990,0.5714,63
1991,0.5753,73
1992,0.4286,42
1993,0.4878,123
1994,0.3659,123
1995,0.5122,82
1996,0.45,60
1997,0.5484,31
1998,0.5714,35
1999,0.6444,45
2001,0.4706,34
2003,0.5758,33
2005,0.4464,56
2006,0.6452,31
