date,ordinality,count
1892,0.5323,31
1899,0.6406,32
1903,0.4097,31
1905,0.3854,31
1908,0.4857,35
1909,0.3171,41
1910,0.6316,38
1913,0.415,40
1914,0.635,46
1915,0.6022,31
1916,0.5118,51
1917,0.4573,53
1918,0.4261,37
1919,0.2971,36
1920,0.3571,31
1921,0.4267,40
1922,0.4651,48
1942,0.4144,36
1943,0.3755,35
1945,0.5222,33
1947,0.5807,40
1948,0.3936,39
1949,0.3684,42
1950,0.337,40
1951,0.4787,43
1953,0.394,31
1954,0.4256,48
1955,0.313,51
1956,0.4147,35
1957,0.4875,40
1958,0.3797,37
1959,0.3565,37
1960,0.3226,39
1961,0.4539,48
1962,0.441,48
1963,0.3842,32
1964,0.294,36
1965,0.2748,37
1966,0.4641,45
1967,0.2727,33
1968,0.3982,31
1969,0.4043,39
1970,0.3761,39
1971,0.4464,64
1972,0.5467,41
1973,0.3682,43
1974,0.3217,43
1975,0.3302,54
1976,0.4346,39
1977,0.4009,75
1978,0.3693,44
1979,0.4,44
1980,0.4111,45
1981,0.2623,44
1982,0.3496,40
1983,0.4136,49
1984,0.5761,51
1986,0.4069,34
1987,0.4839,31
1988,0.5217,43
1989,0.4183,40
1993,0.3867,35
1994,0.4593,41
1995,0.465,40
1997,0.4143,35
