date,ordinality,count
1800,0.5208,40
1806,0.4373,34
1807,0.331,36
1808,0.4273,33
1809,0.3704,45
1810,0.2826,46
1811,0.3111,45
1812,0.2429,35
1813,0.259,37
1814,0.4864,44
1815,0.4074,36
1816,0.3119,35
1817,0.5833,42
1818,0.3856,51
1819,0.4487,52
1820,0.3364,55
1821,0.4383,47
1822,0.443,57
1823,0.4625,60
1824,0.4424,67
1825,0.4878,60
1826,0.4322,72
1827,0.3255,68
1828,0.4323,62
1829,0.4055,79
1830,0.3462,83
1831,0.3606,72
1832,0.4347,86
1833,0.4707,95
1834,0.4113,89
1835,0.5183,100
1836,0.4777,115
1837,0.5083,100
1838,0.4265,76
1839,0.4184,118
1840,0.4773,84
1841,0.5374,98
1842,0.4138,93
1843,0.4517,99
1844,0.4338,135
1845,0.4478,157
1846,0.4859,175
1847,0.417,187
1848,0.4275,161
1849,0.471,158
1850,0.5085,195
1851,0.4365,186
1852,0.4365,207
1853,0.415,236
1854,0.4866,248
1855,0.4783,203
1856,0.446,229
1857,0.4309,214
1858,0.4157,169
1859,0.4411,246
1860,0.3469,217
1861,0.3654,127
1862,0.4176,87
1863,0.4229,121
1864,0.3771,139
1865,0.4592,150
1866,0.3959,163
1867,0.3387,170
1868,0.3848,165
1869,0.404,241
1870,0.3944,178
1871,0.3927,172
1872,0.4206,154
1873,0.4139,148
1874,0.3622,135
1875,0.3609,139
1876,0.388,154
1877,0.3698,137
1878,0.3812,124
1879,0.3487,153
1880,0.3356,184
1881,0.3869,143
1882,0.3375,149
1883,0.3265,147
1884,0.3717,179
1885,0.3533,150
1886,0.3411,150
1887,0.3656,153
1888,0.3598,143
1889,0.3795,218
1890,0.2965,158
1891,0.3,215
1892,0.3089,177
1893,0.3242,201
1894,0.2951,170
1895,0.3658,190
1896,0.3192,183
1897,0.3605,169
1898,0.3151,203
1899,0.3668,360
1900,0.2888,217
1901,0.3315,185
1902,0.304,208
1903,0.3342,184
1904,0.2791,172
1905,0.3257,175
1906,0.2662,153
1907,0.3388,184
1908,0.3093,197
1909,0.2798,195
1910,0.3849,168
1911,0.2654,179
1912,0.3658,154
1913,0.3007,193
1914,0.3282,177
1915,0.3437,142
1916,0.2617,135
1917,0.3447,100
1918,0.359,104
1919,0.249,128
1920,0.3071,140
1921,0.3682,118
1922,0.3181,120
1923,0.2153,72
1924,0.2706,85
1925,0.3224,76
1926,0.2191,54
1927,0.2154,65
1928,0.1627,63
1929,0.2764,75
1930,0.1572,67
1931,0.254,63
1932,0.3308,67
1933,0.3229,48
1934,0.1517,54
1935,0.369,56
1936,0.2655,59
1937,0.274,50
1938,0.3305,59
1939,0.2639,60
1940,0.2635,52
1941,0.187,41
1942,0.2371,47
1943,0.27,50
1944,0.3182,33
1945,0.2833,40
1946,0.3333,75
1947,0.3333,64
1948,0.27,50
1949,0.2735,78
1950,0.2581,62
1951,0.3363,57
1952,0.2273,66
1953,0.3148,72
1954,0.1119,70
1955,0.2338,77
1956,0.3581,74
1957,0.3232,82
1958,0.2188,80
1959,0.2708,88
1960,0.3298,94
1961,0.3481,97
1962,0.2807,114
1963,0.3472,108
1964,0.2589,103
1965,0.33,124
1966,0.3027,111
1967,0.2042,111
1968,0.2741,147
1969,0.277,155
1970,0.2485,165
1971,0.3525,165
1972,0.2376,155
1973,0.3226,124
1974,0.3895,117
1975,0.2744,123
1976,0.2493,71
1977,0.3218,137
1978,0.3355,115
1979,0.3294,126
1980,0.2751,123
1981,0.2407,134
1982,0.3291,117
1983,0.2949,151
1984,0.2649,134
1985,0.2872,141
1986,0.2551,132
1987,0.2638,163
1988,0.335,203
1989,0.2802,160
1990,0.3478,127
1991,0.3363,113
1992,0.2738,126
1993,0.3226,178
1994,0.2591,230
1995,0.2546,233
1996,0.2537,205
1997,0.2547,200
1998,0.2061,186
1999,0.2551,115
2000,0.258,100
2001,0.2713,82
2002,0.3333,105
2003,0.267,98
2004,0.2447,95
2005,0.2707,213
2006,0.2668,205
2007,0.2784,88
2008,0.2726,117
2009,0.3077,117
2010,0.1894,44
