date,ordinality,count
1842,0.969,34
1844,0.9403,38
1845,0.919,36
1846,0.9123,38
1850,0.9429,35
1851,0.8846,39
1853,0.8859,46
1854,0.8851,53
1855,0.9512,41
1856,0.8579,40
1857,0.8276,35
1858,0.8687,33
1859,0.9786,39
1860,0.8441,42
1866,0.9165,40
1867,0.9435,44
1868,0.9,40
1869,0.9157,41
1870,0.8846,52
1871,0.9231,65
1872,0.8468,31
1874,0.8844,40
1878,0.8292,40
1880,0.8382,34
1882,0.9091,33
1883,0.9559,34
1884,0.9074,36
1888,0.9079,38
1889,0.7952,35
1890,0.719,35
1891,0.8485,33
1892,0.7399,33
1893,0.7672,58
1894,0.8194,36
1895,0.8571,42
1897,0.7632,38
1898,0.8553,38
1899,0.8246,57
1900,0.7682,32
1901,0.848,33
1902,0.9091,33
1903,0.7625,40
1904,0.8427,31
1906,0.8893,56
1907,0.8289,38
1908,0.9125,40
1909,0.8288,37
1910,0.8864,44
1912,0.6,45
1913,0.8351,37
1962,0.8281,40
1963,0.914,31
1964,0.8889,36
1965,0.8879,33
1966,0.8252,41
1967,0.7436,39
1968,0.8605,49
1969,0.7252,37
1970,0.8659,46
1971,0.6875,32
1973,0.9243,38
1974,0.8387,31
1976,0.7442,31
