date,ordinality,count
1959,0.3636,33
1962,0.25,44
1963,0.387,34
1964,0.2941,34
1965,0.2475,34
1966,0.3488,43
1967,0.2111,45
1968,0.2553,47
1969,0.2593,54
1970,0.0638,47
1971,0.3034,39
1972,0.2815,54
1973,0.2381,63
1974,0.2,55
1975,0.1957,46
1976,0.269,42
1977,0.2672,58
1978,0.2453,53
1979,0.1695,59
1980,0.2826,46
1981,0.2381,49
1982,0.2995,64
1983,0.3409,44
1984,0.2277,71
1985,0.1792,53
1986,0.3721,43
1987,0.2972,60
1988,0.3507,96
1989,0.3962,65
1990,0.2286,35
1991,0.28,50
1992,0.31,50
1993,0.4444,81
1994,0.362,90
1995,0.2604,96
1996,0.4309,76
1997,0.2917,44
1998,0.2944,66
1999,0.3158,38
2000,0.3739,37
2001,0.3077,39
2002,0.4038,39
2003,0.4967,61
2004,0.6128,65
2005,0.4511,104
2006,0.413,69
2007,0.5,34
2008,0.4351,57
2009,0.4108,52
