date,ordinality,count
1854,0.1774,31
1856,0.1579,38
1858,0.1441,34
1859,0.1351,37
1865,0.1556,45
1866,0.0857,35
1867,0.0758,33
1868,0.1636,55
1869,0.1594,69
1870,0.0942,46
1871,0.0714,42
1872,0.141,39
1873,0.1286,35
1874,0.0744,43
1875,0.1,50
1876,0.0469,64
1877,0.0992,63
1878,0.0114,82
1879,0.0842,95
1880,0.0724,76
1881,0.0951,81
1882,0.1215,107
1883,0.0957,115
1884,0.0945,115
1885,0.1222,105
1886,0.0376,93
1887,0.0485,103
1888,0.0991,111
1889,0.096,125
1890,0.124,129
1891,0.0664,133
1892,0.0859,99
1893,0.0636,110
1894,0.096,99
1895,0.1314,118
1896,0.0972,126
1897,0.072,125
1898,0.0908,112
1899,0.1478,146
1900,0.0644,132
1901,0.1361,97
1902,0.0845,146
1903,0.1127,142
1904,0.0733,124
1905,0.0865,131
1906,0.0988,124
1907,0.0971,139
1908,0.0812,117
1909,0.0993,146
1910,0.1172,145
1911,0.117,141
1912,0.158,154
1913,0.1423,149
1914,0.1072,129
1915,0.1263,95
1916,0.0826,121
1917,0.1555,119
1918,0.0997,97
1919,0.1369,137
1920,0.1504,118
1921,0.0946,104
1922,0.0887,154
1923,0.137,73
1924,0.1359,92
1925,0.1284,74
1926,0.1771,72
1927,0.1515,66
1928,0.2078,75
1929,0.1519,79
1930,0.1235,85
1931,0.1216,74
1932,0.0987,76
1933,0.1073,59
1934,0.1277,47
1935,0.1627,83
1936,0.2035,86
1937,0.1319,72
1938,0.1444,90
1939,0.1318,110
1940,0.1307,88
1941,0.1572,106
1942,0.0909,88
1943,0.0702,57
1944,0.1,65
1945,0.0909,66
1946,0.1024,83
1947,0.1148,98
1948,0.11,100
1949,0.055,109
1950,0.1739,115
1951,0.1296,81
1952,0.1959,97
1953,0.1826,115
1954,0.1646,79
1955,0.1483,109
1956,0.1221,86
1957,0.0941,85
1958,0.1554,111
1959,0.0847,118
1960,0.1287,101
1961,0.1787,132
1962,0.1174,115
1963,0.1217,152
1964,0.1863,153
1965,0.1995,122
1966,0.1522,138
1967,0.1372,145
1968,0.1522,156
1969,0.1319,144
1970,0.1847,157
1971,0.1875,160
1972,0.1976,167
1973,0.1999,168
1974,0.1677,166
1975,0.2298,161
1976,0.168,122
1977,0.2689,141
1978,0.2837,141
1979,0.241,139
1980,0.1783,143
1981,0.2852,142
1982,0.3362,139
1983,0.3052,151
1984,0.297,124
1985,0.2348,115
1986,0.1814,102
1987,0.218,133
1988,0.3133,150
1989,0.2198,113
1990,0.2531,108
1991,0.3487,76
1992,0.3736,91
1993,0.3131,132
1994,0.2761,169
1995,0.2515,163
1996,0.324,125
1997,0.2683,82
1998,0.2784,97
1999,0.24,75
2000,0.3305,59
2001,0.4481,61
2002,0.2738,56
2003,0.391,52
2004,0.3684,57
2005,0.4097,96
2006,0.2921,89
2008,0.2787,61
2009,0.4,40
