date,ordinality,count
1959,0.0076,33
1960,0.0,45
1961,0.0222,47
1962,0.0408,62
1963,0.0058,77
1964,0.0397,62
1965,0.0024,71
1966,0.0263,78
1967,0.0041,88
1968,0.0259,90
1969,0.0323,65
1970,0.0285,83
1971,0.0549,68
1972,0.0246,95
1973,0.0015,74
1974,0.0498,69
1975,0.0372,81
1976,0.0166,78
1977,0.0329,103
1978,0.0325,111
1979,0.0133,103
1980,0.0164,99
1981,0.0295,127
1982,0.0441,135
1983,0.023,175
1984,0.016,149
1985,0.0276,151
1986,0.0311,152
1987,0.0312,198
1988,0.0317,222
1989,0.0375,192
1990,0.036,133
1991,0.0398,122
1992,0.0329,150
1993,0.0316,223
1994,0.0261,247
1995,0.0269,240
1996,0.0182,184
1997,0.041,136
1998,0.0085,123
1999,0.0128,74
2000,0.0097,72
2001,0.0481,81
2002,0.0347,101
2003,0.0192,114
2004,0.0621,94
2005,0.0192,175
2006,0.0331,133
2007,0.0467,72
2008,0.0705,63
2009,0.0083,40
