date,ordinality,count
1952,0.5826,34
1953,0.5909,33
1954,0.5549,49
1955,0.5326,73
1956,0.6173,77
1957,0.6121,94
1958,0.571,125
1959,0.6282,159
1960,0.6093,149
1961,0.6193,172
1962,0.6319,188
1963,0.6139,182
1964,0.5655,176
1965,0.6021,223
1966,0.588,189
1967,0.5763,175
1968,0.5535,223
1969,0.5348,204
1970,0.5138,183
1971,0.5481,216
1972,0.5133,208
1973,0.5634,217
1974,0.5521,243
1975,0.5289,223
1976,0.5288,215
1977,0.579,254
1978,0.5659,276
1979,0.5062,281
1980,0.5518,284
1981,0.5584,302
1982,0.58,302
1983,0.5087,324
1984,0.5166,316
1985,0.5562,232
1986,0.5151,237
1987,0.5184,267
1988,0.5119,364
1989,0.5351,293
1990,0.5099,232
1991,0.5379,225
1992,0.5677,245
1993,0.5671,323
1994,0.5259,348
1995,0.5067,349
1996,0.5134,324
1997,0.4785,243
1998,0.4568,300
1999,0.4677,246
2000,0.44,232
2001,0.4705,233
2002,0.451,263
2003,0.4485,238
2004,0.4517,253
2005,0.4326,352
2006,0.4754,242
2007,0.5173,161
2008,0.4224,197
2009,0.4168,197
2010,0.3956,108
2011,0.4762,56
