date,ordinality,count
1823,0.0,31
1824,0.0,30
1826,0.0323,31
1830,0.0645,31
1831,0.0263,38
1832,0.0333,30
1833,0.0488,41
1834,0.0682,44
1835,0.0667,45
1836,0.0667,45
1838,0.0638,47
1839,0.0877,57
1840,0.0588,51
1841,0.0182,55
1842,0.0645,31
1843,0.0192,52
1844,0.0784,51
1845,0.0513,78
1846,0.0759,79
1847,0.044,91
1848,0.0947,95
1849,0.04,100
1850,0.0233,86
1851,0.0787,89
1852,0.0698,86
1853,0.05,120
1854,0.0778,167
1855,0.0625,112
1856,0.0769,104
1857,0.0882,102
1858,0.0617,81
1859,0.065,123
1860,0.0316,95
1861,0.027,74
1862,0.0244,41
1863,0.0444,45
1864,0.0526,95
1865,0.0,55
1866,0.0388,103
1867,0.02,150
1868,0.0645,93
1869,0.0917,120
1870,0.0556,90
1871,0.0408,98
1872,0.0109,92
1873,0.0506,79
1874,0.0822,73
1875,0.0532,94
1876,0.0385,78
1877,0.026,77
1878,0.0575,87
1879,0.0753,93
1880,0.0687,131
1881,0.0735,68
1882,0.1,80
1883,0.0565,124
1884,0.045,111
1885,0.0485,103
1886,0.0364,110
1887,0.0265,113
1888,0.058,138
1889,0.0745,161
1890,0.037,135
1891,0.024,125
1892,0.0297,101
1893,0.0175,114
1894,0.0085,117
1895,0.0424,118
1896,0.0252,119
1897,0.041,122
1898,0.0357,168
1899,0.0565,301
1900,0.0231,216
1901,0.0247,162
1902,0.0442,113
1903,0.0336,149
1904,0.041,122
1905,0.0833,120
1906,0.0365,137
1907,0.0662,136
1908,0.0397,126
1909,0.0738,149
1910,0.0536,112
1911,0.0362,138
1912,0.0339,118
1913,0.0588,119
1914,0.028,143
1915,0.1084,83
1916,0.0625,96
1917,0.0667,60
1918,0.0484,62
1919,0.0824,85
1920,0.0732,82
1921,0.0469,64
1922,0.0482,83
1923,0.0676,74
1924,0.0299,67
1925,0.0169,59
1926,0.0938,64
1927,0.0781,64
1928,0.0667,75
1929,0.11,100
1930,0.0723,83
1931,0.0725,69
1932,0.1,60
1933,0.0909,66
1934,0.0339,59
1935,0.0556,54
1936,0.04,50
1937,0.127,63
1938,0.0769,65
1939,0.0571,70
1940,0.0185,54
1941,0.0286,35
1942,0.1591,44
1943,0.1522,46
1944,0.0233,43
1945,0.0,37
1946,0.0,49
1947,0.0469,64
1948,0.0656,61
1949,0.0581,86
1950,0.0805,87
1951,0.0426,47
1952,0.0492,61
1953,0.0615,65
1954,0.08,75
1955,0.0339,59
1956,0.0597,67
1957,0.1286,70
1958,0.0286,70
1959,0.0588,85
1960,0.0784,102
1961,0.043,93
1962,0.0638,94
1963,0.0682,88
1964,0.1222,90
1965,0.0722,97
1966,0.1042,96
1967,0.0574,122
1968,0.0656,122
1969,0.0236,127
1970,0.0551,127
1971,0.07,100
1972,0.0504,119
1973,0.0667,120
1974,0.0354,113
1975,0.0741,81
1976,0.0159,63
1977,0.0694,72
1978,0.0879,91
1979,0.0411,73
1980,0.1594,69
1981,0.0638,94
1982,0.0947,95
1983,0.0506,79
1984,0.0404,99
1985,0.04,75
1986,0.0143,70
1987,0.0612,98
1988,0.0481,104
1989,0.0227,88
1990,0.0698,43
1991,0.1392,79
1992,0.1589,107
1993,0.0393,229
1994,0.089,281
1995,0.0625,176
1996,0.0947,95
1997,0.0154,65
1998,0.0685,73
1999,0.0566,53
2000,0.027,37
2001,0.0385,52
2002,0.0208,48
2003,0.0476,42
2004,0.05,60
2005,0.0824,85
2006,0.0494,81
2007,0.0541,37
2008,0.0556,54
2009,0.102,49
