date,ordinality,count
1847,1.0,32
1848,1.0,30
1850,1.0,56
1851,1.0,35
1853,1.0,44
1854,1.0,40
1855,1.0,36
1859,1.0,39
1866,1.0,35
1867,1.0,36
1868,1.0,37
1869,1.0,54
1871,1.0,30
1872,1.0,44
1875,1.0,32
1879,1.0,36
1880,1.0,44
1881,1.0,33
1883,1.0,40
1884,1.0,37
1885,1.0,36
1886,1.0,34
1887,1.0,44
1888,1.0,43
1889,1.0,41
1890,1.0,43
1891,1.0,49
1892,1.0,56
1893,1.0,55
1894,1.0,36
1895,1.0,39
1896,1.0,61
1897,0.9737,38
1898,1.0,67
1899,1.0,105
1900,1.0,67
1901,1.0,55
1902,1.0,60
1903,1.0,48
1904,1.0,42
1905,1.0,45
1906,1.0,51
1907,1.0,44
1908,1.0,52
1909,1.0,71
1910,1.0,58
1911,1.0,59
1912,1.0,58
1913,1.0,57
1914,1.0,52
1916,1.0,43
1917,1.0,49
1919,1.0,47
1920,1.0,51
1921,1.0,33
1922,1.0,42
1923,1.0,30
1924,1.0,36
1925,1.0,32
1927,1.0,32
1929,1.0,48
1930,1.0,46
1935,1.0,30
1936,1.0,45
1937,1.0,35
1940,1.0,38
1943,0.9744,39
1947,0.9762,42
1948,1.0,43
1949,1.0,42
1950,1.0,50
1951,1.0,61
1952,1.0,43
1953,1.0,42
1954,1.0,46
1955,1.0,38
1956,1.0,49
1957,1.0,42
1958,1.0,61
1959,1.0,49
1960,0.9861,72
1961,1.0,51
1962,1.0,67
1963,1.0,63
1964,1.0,43
1965,1.0,69
1966,1.0,75
1967,1.0,76
1968,1.0,79
1969,1.0,76
1970,0.9885,87
1971,1.0,72
1972,1.0,55
1973,1.0,81
1974,1.0,52
1975,1.0,51
1976,1.0,53
1977,1.0,73
1978,1.0,58
1979,1.0,74
1980,1.0,52
1981,1.0,80
1982,1.0,63
1983,1.0,70
1984,1.0,69
1985,1.0,66
1986,1.0,51
1987,1.0,68
1988,1.0,83
1989,1.0,56
1990,1.0,51
1991,1.0,62
1992,1.0,75
1993,1.0,145
1994,1.0,179
1995,1.0,116
1996,1.0,91
1997,1.0,47
1998,1.0,63
1999,1.0,39
2001,1.0,52
2002,1.0,44
2004,1.0,37
2005,1.0,74
2006,0.9846,65
2008,1.0,67
2009,1.0,35
