date,ordinality,count
1816,0.8049,41
1822,0.5161,31
1825,0.5641,39
1826,0.5806,31
1830,0.5167,60
1831,0.3421,38
1832,0.3871,31
1835,0.451,51
1837,0.2,30
1838,0.3455,55
1839,0.4833,60
1840,0.5303,66
1841,0.5,52
1842,0.2,35
1843,0.3261,46
1844,0.4762,63
1845,0.3269,52
1846,0.2653,49
1847,0.4576,59
1848,0.2895,38
1849,0.3922,51
1850,0.4156,77
1851,0.3913,46
1852,0.4792,48
1853,0.3913,92
1854,0.4286,63
1855,0.3611,72
1856,0.2361,72
1857,0.4231,78
1858,0.4792,48
1859,0.3134,67
1860,0.2609,69
1861,0.451,51
1863,0.3684,38
1864,0.6047,43
1865,0.4412,34
1867,0.4286,56
1868,0.4878,41
1869,0.3659,82
1870,0.4054,37
1871,0.3867,75
1872,0.4464,56
1876,0.4,30
1878,0.45,40
1879,0.2727,33
1880,0.3692,65
1881,0.25,36
1882,0.4324,37
1883,0.5111,45
1884,0.4762,42
1885,0.3,40
1886,0.3953,43
1887,0.4318,44
1888,0.6522,46
1889,0.3273,55
1890,0.3673,49
1891,0.25,36
1892,0.5738,61
1893,0.5349,43
1894,0.4324,37
1895,0.4444,54
1896,0.4167,36
1897,0.2955,44
1898,0.3594,64
1899,0.4194,93
1900,0.3,40
1901,0.4259,54
1902,0.4643,56
1903,0.4138,58
1904,0.2692,52
1905,0.322,59
1906,0.4348,46
1907,0.5077,65
1908,0.4038,52
1909,0.4182,55
1910,0.589,73
1911,0.3333,45
1912,0.371,62
1913,0.4286,56
1914,0.6087,46
1915,0.5439,57
1916,0.4419,43
1917,0.62,50
1918,0.5,34
1919,0.4783,46
1920,0.3256,43
1921,0.4,50
1922,0.4348,46
1923,0.5294,34
1924,0.3333,33
1925,0.4242,33
1926,0.5,32
1928,0.5111,45
1929,0.3667,30
1930,0.4828,58
1931,0.5349,43
1935,0.4146,41
1936,0.3171,41
1937,0.3953,43
1938,0.451,51
1939,0.5745,47
1940,0.4688,32
1941,0.3714,35
1942,0.3529,34
1943,0.5333,30
1944,0.3684,38
1945,0.5135,37
1946,0.5854,41
1947,0.3934,61
1948,0.4127,63
1949,0.4426,61
1950,0.3855,83
1951,0.4426,61
1952,0.4271,96
1953,0.3443,61
1954,0.4429,70
1955,0.4189,74
1956,0.5195,77
1957,0.4,80
1958,0.4478,67
1959,0.375,72
1960,0.5067,75
1961,0.38,100
1962,0.4607,89
1963,0.377,122
1964,0.5149,101
1965,0.4453,128
1966,0.4393,107
1967,0.43,100
1968,0.5108,139
1969,0.4615,130
1970,0.4201,169
1971,0.5234,128
1972,0.4133,150
1973,0.4274,117
1974,0.408,125
1975,0.419,105
1976,0.4731,93
1977,0.446,139
1978,0.4038,156
1979,0.5285,123
1980,0.5563,142
1981,0.4385,130
1982,0.4815,162
1983,0.538,184
1984,0.5075,134
1985,0.4154,130
1986,0.44,125
1987,0.3363,113
1988,0.4837,184
1989,0.537,162
1990,0.4091,88
1991,0.456,125
1992,0.4206,126
1993,0.4342,304
1994,0.3678,397
1995,0.4184,294
1996,0.4417,163
1997,0.3953,129
1998,0.4552,134
1999,0.4688,64
2000,0.5,90
2001,0.3684,57
2002,0.5652,69
2003,0.4674,92
2004,0.4713,87
2005,0.4436,133
2006,0.3973,146
2007,0.449,49
2008,0.5,96
2009,0.2778,126
2010,0.3684,38
